Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 264+265-NT1+2-94m-p1trap,Coverage (%) 266+267-NT3+4--265m-p1trap,Coverage (%) 268_269-NT5+6-965m-p2trap,Coverage (%) 111-2012-105m-bb2trap,Coverage (%) 97-2012-750m-bb2trap,Area 264+265-NT1+2-94m-p1trap,Area 266+267-NT3+4--265m-p1trap,Area 268_269-NT5+6-965m-p2trap,Area 111-2012-105m-bb2trap,Area 97-2012-750m-bb2trap,#Peptides,#Unique,#Spec 264+265-NT1+2-94m-p1trap,#Spec 266+267-NT3+4--265m-p1trap,#Spec 268_269-NT5+6-965m-p2trap,#Spec 111-2012-105m-bb2trap,#Spec 97-2012-750m-bb2trap,PTM,Avg. Mass,Description
2097,2327,ETNP_120,38.90,9,0,0,0,9,0,,,,3.99E5,,1,1,0,0,0,1,0,,13335,Fructose-1 6-bisphosphatase class 1
2097,2328,ETNP_100,38.90,8,0,0,0,8,0,,,,3.99E5,,1,1,0,0,0,1,0,,16038,Fructose-1 6-bisphosphatase class 1
2097,2329,ETNP_120,38.90,7,0,0,0,7,0,,,,3.99E5,,1,1,0,0,0,1,0,,16782,Fructose-1 6-bisphosphatase class 1
2097,2330,XP_003080995,38.90,3,0,0,0,3,0,,,,3.99E5,,1,1,0,0,0,1,0,,39220,fructose-bisphosphatase ISS  Ostreococcus tauri
836,1946,EJK68730,38.85,5,0,4,0,1,0,,0E0,,0E0,,2,2,0,1,0,1,0,Carbamidomethylation; Oxidation (M),98536,hypothetical protein THAOC_10065 partial  Thalassiosira oceanica
458,3351,ACL63853.1,38.85,2,0,0,2,0,0,,,,,,2,0,0,0,3,0,0,,92934,ATPase  P-type (transporting)  HAD superfamily  subfamily IC [Anaeromyxobacter dehalogenans 2CP-1]
389,4636,ETNP_120,38.75,0,0,0,0,0,0,,,,5.94E5,,3,1,0,0,2,1,0,,458611,Gramicidin S synthase 2
707,2906,ETNP14_68,38.54,2,0,0,1,1,0,,,,,,2,0,0,0,1,1,0,,68181,Chaperone protein HscA
511,4692,ETNP14_68,38.53,5,0,0,5,0,0,,,,,,3,0,0,0,3,0,0,,27966,Protein GrpE
1073,2483,XP_003079783,38.52,19,0,0,0,8,11,,,,1.77E6,5.65E4,2,2,0,0,0,1,1,Carbamidomethylation,14897,RS11_EUPES 40S ribosomal protein S11 ISS  Ostreococcus tauri
430,4352,EJK49398,38.37,1,1,0,1,0,0,8.53E5,,,,,3,1,1,0,2,0,0,Oxidation (M),154254,hypothetical protein THAOC_31733  Thalassiosira oceanica
520,10111,virus_CCADEAMM_16920,38.13,1,0,0,1,0,0,,,,,,3,0,0,0,3,0,0,,139460,hypothetical protein
643,3993,WP_015404744,38.13,1,0,0,1,0,0,,,,,,2,0,0,0,2,0,0,Oxidation (M),131124,DNA-directed DNA polymerase III PolC Desulfocapsa sulfexigens
840,2553,XP_003080112,38.10,12,0,0,0,12,0,,,,2.07E5,,2,2,0,0,0,2,0,Carbamidomethylation,21133,RS5_CICAR 40S ribosomal protein S5 ISS  Ostreococcus tauri
507,2459,ETNP14_68,38.09,3,0,0,1,2,0,,,,9.74E6,,2,1,0,0,1,2,0,Oxidation (M),72518,K(+)-insensitive pyrophosphate-energized proton pump
404,2878,ETNP_120,38.06,3,0,0,2,1,0,,,,,,3,0,0,0,2,1,0,Oxidation (M),65528,Chaperone protein DnaK
404,2881,ETNP_70,38.06,3,0,0,2,1,0,,,,,,3,0,0,0,2,1,0,Oxidation (M),65071,Chaperone protein DnaK
404,2885,ETNP14_68,38.06,3,0,0,2,1,0,,,,,,3,0,0,0,2,1,0,Oxidation (M),65485,Chaperone protein DnaK
2536,2033,ETNP_90,38.03,13,0,0,0,13,0,,,,1.92E5,,1,1,0,0,0,1,0,,8024,Elongation factor Tu
659,2693,NP_300,38.03,2,0,0,1,1,0,,,,,,2,0,0,0,1,1,0,,66637,Delta-aminolevulinic acid dehydratase
348,2385,ETNP_180,38.00,4,0,0,1,3,0,,,,7.47E5,,2,1,0,0,1,3,0,Carbamidomethylation,41692,Adenosylhomocysteinase
348,2393,ETNP_120,38.00,3,0,0,1,2,0,,,,7.47E5,,2,1,0,0,1,3,0,Carbamidomethylation,52887,Adenosylhomocysteinase
348,2394,ETNP_160,38.00,3,0,0,1,2,0,,,,7.47E5,,2,1,0,0,1,3,0,Carbamidomethylation,52887,Adenosylhomocysteinase
348,2395,ETNP_120,38.00,3,0,0,1,2,0,,,,7.47E5,,2,1,0,0,1,3,0,Carbamidomethylation,52887,Adenosylhomocysteinase
348,2396,ETNP_300,38.00,3,0,0,1,2,0,,,,7.47E5,,2,1,0,0,1,3,0,Carbamidomethylation,52887,Adenosylhomocysteinase
348,2397,ETNP_100,38.00,3,0,0,1,2,0,,,,7.47E5,,2,1,0,0,1,3,0,Carbamidomethylation,52888,Adenosylhomocysteinase
348,2407,ETNP_90,38.00,3,0,0,1,2,0,,,,7.47E5,,2,1,0,0,1,3,0,Carbamidomethylation,54610,Adenosylhomocysteinase
348,2421,ETNP_140,38.00,3,0,0,1,2,0,,,,7.47E5,,2,1,0,0,1,3,0,Carbamidomethylation,52888,Adenosylhomocysteinase
348,2460,ETNP_100,38.00,3,0,0,1,2,0,,,,7.47E5,,2,1,0,0,1,3,0,Carbamidomethylation,49690,Adenosylhomocysteinase
348,2469,ETNP_120,38.00,3,0,0,1,2,0,,,,7.47E5,,2,1,0,0,1,3,0,Carbamidomethylation,52901,Adenosylhomocysteinase
405,3545,AOO12979.1,37.96,1,0,0,1,0,0,,,9.02E4,,,3,1,1,0,2,0,0,,302646,structural protein [Cyanophage S-RIM44]
1076,2791,ETNP_120,37.76,5,0,0,0,5,0,,,,3.43E5,,2,1,0,0,0,2,0,,43853,Elongation factor Tu
383,2522,ETNP14_120,37.69,3,0,0,1,2,0,,,1.15E6,3.38E5,,2,2,0,0,2,1,0,Oxidation (M),65825,Translation initiation factor IF-2
1112,11488,ETNP14_68,37.68,5,0,0,5,0,0,,,,,,2,0,0,0,2,0,0,,21747,hypothetical protein
423,3207,WP_009773491.1,37.34,1,0,0,0,0,0,5.38E4,,,7.63E4,,3,2,1,0,1,1,0,,258204,hypothetical protein [marine actinobacterium PHSC20C1]
613,2675,ACL67593.1,37.23,1,0,0,0,0,0,,,,4.63E5,,2,1,0,0,1,1,0,,196479,GAF sensor hybrid histidine kinase [Anaeromyxobacter dehalogenans 2CP-1]
537,2551,KHE90968,37.20,4,0,2,0,2,2,,,,,,2,0,0,1,0,1,1,,36082,glyceraldehyde-3-phosphate dehydrogenase Candidatus Scalindua brodae
702,2411,EJK47032,37.15,2,0,0,0,2,0,,,,3.8E5,,2,2,0,0,0,2,0,,158689,hypothetical protein THAOC_34277 partial  Thalassiosira oceanica
587,3530,virus_CCADEAMM_21901,37.14,2,0,0,1,1,0,,,7.61E4,0E0,,2,2,0,0,1,1,0,Oxidation (M),225325,hypothetical protein
2887,2341,ETNP14_120,37.09,3,0,0,0,3,0,,,,5.48E5,,1,1,0,0,0,1,0,,43833,Acyl-CoA dehydrogenase
770,2907,WP_013751621.1,37.01,2,0,0,1,0,1,,,,,,2,0,0,0,1,0,1,,81362,isocitrate dehydrogenase  NADP-dependent [Dokdonia sp. 4H-3-7-5]
770,2908,WP_035336308.1,37.01,2,0,0,1,0,1,,,,,,2,0,0,0,1,0,1,,81397,isocitrate dehydrogenase  NADP-dependent [Dokdonia sp. PRO95]
955,2868,NP_30,36.99,2,0,0,1,2,0,,,,5.02E5,,2,1,0,0,1,1,0,,73843,Sodium/proline symporter
2888,2492,ETNP14_68,36.99,8,0,0,0,0,8,,,,,9.59E4,1,1,0,0,0,0,1,,16115,hypothetical protein
2888,2493,ETNP_90,36.99,6,0,0,0,0,6,,,,,9.59E4,1,1,0,0,0,0,1,,22132,hypothetical protein
970,5199,ETNP14_68,36.82,4,3,0,2,0,0,,,,,,2,0,1,0,1,0,0,,24557,Adenylate kinase
970,5200,ETNP14_68,36.82,4,3,0,2,0,0,,,,,,2,0,1,0,1,0,0,,24466,Adenylate kinase
309,3354,XP_002185049,36.78,15,0,0,10,0,5,,,1.32E6,,1.87E5,3,3,0,0,2,0,2,,16829,calmoduline  Phaeodactylum tricornutum CCAP 1055
309,3355,EJK58168,36.78,15,0,0,10,0,5,,,1.32E6,,1.87E5,3,3,0,0,2,0,2,,16858,hypothetical protein THAOC_21730  Thalassiosira oceanica
309,3356,EJK77863,36.78,15,0,0,10,0,5,,,1.32E6,,1.87E5,3,3,0,0,2,0,2,,16858,hypothetical protein THAOC_00268  Thalassiosira oceanica
309,3357,ETNP_90,36.78,13,0,0,9,0,4,,,1.32E6,,1.87E5,3,3,0,0,2,0,2,,18514,EF hand
1578,1566,ETNP_120,36.72,4,0,0,0,4,0,,,,5.21E4,,1,1,0,0,0,1,0,,28957,SPFH domain / Band 7 family protein
1578,1567,ETNP_180,36.72,4,0,0,0,4,0,,,,5.21E4,,1,1,0,0,0,1,0,,28957,SPFH domain / Band 7 family protein
1578,1568,ETNP_140,36.72,4,0,0,0,4,0,,,,5.21E4,,1,1,0,0,0,1,0,,28957,SPFH domain / Band 7 family protein
1578,1569,ETNP_300,36.72,4,0,0,0,4,0,,,,5.21E4,,1,1,0,0,0,1,0,,28957,SPFH domain / Band 7 family protein
1578,1570,ETNP_160,36.72,4,0,0,0,4,0,,,,5.21E4,,1,1,0,0,0,1,0,,28957,SPFH domain / Band 7 family protein
1578,1571,ETNP_120,36.72,4,0,0,0,4,0,,,,5.21E4,,1,1,0,0,0,1,0,,28957,SPFH domain / Band 7 family protein
1578,1582,ETNP_150,36.72,3,0,0,0,3,0,,,,5.21E4,,1,1,0,0,0,1,0,,32426,SPFH domain / Band 7 family protein
378,4792,Flavovirus_FBAKDGPJ_02979,36.59,1,0,0,1,0,0,,,0E0,,,3,1,1,0,2,0,0,,335975,hypothetical protein
843,2852,WP_023559668,36.57,5,0,0,0,3,1,,,,4.2E5,,2,1,0,0,0,1,1,,81194,isocitrate dehydrogenase Alteromonas mediterranea
948,2439,XP_003063800,36.56,4,0,0,1,2,0,,,,2.07E4,,2,1,0,0,1,1,0,,47890,predicted protein  Micromonas pusilla CCMP1545
388,6353,ACL71744.1,36.49,0,0,0,0,0,0,,,,,,3,0,1,1,1,0,0,,391391,hypothetical protein Tgr7_0651 [Thioalkalivibrio sulfidiphilus HL-EbGr7]
958,2996,ETNP_160,36.41,2,1,0,0,0,1,,,,,,2,0,1,0,0,0,1,,81061,Isocitrate dehydrogenase [NADP]
2537,2083,XP_003056074,36.37,2,0,0,0,2,0,,,,7.29E5,,1,1,0,0,0,1,0,,64793,phosphoglucomutase  Micromonas pusilla CCMP1545
2537,2128,XP_003083406,36.37,2,0,0,0,2,0,,,,7.29E5,,1,1,0,0,0,1,0,,60461,phosphoglucomutase ISS  Ostreococcus tauri
1436,1492,ActinobacteriaREDSEAS09_EJKBNLBD_00397,36.26,2,0,0,0,2,0,,,,9.1E5,,1,1,0,0,0,1,0,,46855,Citrate synthase
1436,1493,ActinobacteriaREDSEAS14_EEFFFEGA_00348,36.26,2,0,0,0,2,0,,,,9.1E5,,1,1,0,0,0,1,0,,46855,Citrate synthase
1436,1548,ETNP14_68,36.26,3,0,0,0,3,0,,,,9.1E5,,1,1,0,0,0,1,0,,32471,Citrate synthase  plasmid
1436,1549,ETNP_90,36.26,3,0,0,0,3,0,,,,9.1E5,,1,1,0,0,0,1,0,,37875,Citrate synthase  plasmid
1436,1587,ETNP14_68,36.26,2,0,0,0,2,0,,,,9.1E5,,1,1,0,0,0,1,0,,46431,Citrate synthase
1436,1588,ETNP14_68,36.26,2,0,0,0,2,0,,,,9.1E5,,1,1,0,0,0,1,0,,46326,Citrate synthase  plasmid
1436,1628,CBE69885,36.26,2,0,0,0,2,0,,,,9.1E5,,1,1,0,0,0,1,0,,49484,citrate synthase Candidatus Methylomirabilis oxyfera
1436,1632,ETNP_90,36.26,2,0,0,0,2,0,,,,9.1E5,,1,1,0,0,0,1,0,,46882,Citrate synthase
1436,2132,ETNP14_120,36.26,2,0,0,0,2,0,,,,9.1E5,,1,1,0,0,0,1,0,,46915,Citrate synthase  plasmid
1436,2154,WP_011311699,36.26,2,0,0,0,2,0,,,,9.1E5,,1,1,0,0,0,1,0,,48624,type II citrate synthase Thiobacillus denitrificans
1436,2159,WP_013261635,36.26,2,0,0,0,2,0,,,,9.1E5,,1,1,0,0,0,1,0,,47369,type II citrate synthase gamma proteobacterium HdN1
1436,2162,Verrucomicrobia_HGEPPPGB_01414,36.26,3,0,0,0,3,0,,,,9.1E5,,1,1,0,0,0,1,0,,41287,Citrate synthase 2
1436,2214,ETNP_180,36.26,2,0,0,0,2,0,,,,9.1E5,,1,1,0,0,0,1,0,,48556,Citrate synthase
1436,2215,WP_015350009,36.26,2,0,0,0,2,0,,,,9.1E5,,1,1,0,0,0,1,0,,49048,citrate synthase Myxococcus stipitatus
1436,2217,ETNP_180,36.26,2,0,0,0,2,0,,,,9.1E5,,1,1,0,0,0,1,0,,46858,Citrate synthase
1436,2218,ETNP_300,36.26,2,0,0,0,2,0,,,,9.1E5,,1,1,0,0,0,1,0,,46858,Citrate synthase
1436,2345,ETNP_180,36.26,9,0,0,0,9,0,,,,9.1E5,,1,1,0,0,0,1,0,,12046,Citrate synthase
1436,2349,ETNP14_120,36.26,4,0,0,0,4,0,,,,9.1E5,,1,1,0,0,0,1,0,,25803,Citrate synthase  plasmid
1436,2350,ETNP_300,36.26,4,0,0,0,4,0,,,,9.1E5,,1,1,0,0,0,1,0,,28787,Citrate synthase
1436,2351,ETNP_90,36.26,4,0,0,0,4,0,,,,9.1E5,,1,1,0,0,0,1,0,,28624,Citrate synthase
1436,2352,ETNP_300,36.26,3,0,0,0,3,0,,,,9.1E5,,1,1,0,0,0,1,0,,32815,Citrate synthase
1436,2353,ETNP_180,36.26,3,0,0,0,3,0,,,,9.1E5,,1,1,0,0,0,1,0,,32985,Citrate synthase
1436,2354,ETNP_180,36.26,3,0,0,0,3,0,,,,9.1E5,,1,1,0,0,0,1,0,,35415,Citrate synthase
1436,2355,ETNP14_120,36.26,3,0,0,0,3,0,,,,9.1E5,,1,1,0,0,0,1,0,,42322,Citrate synthase
1436,2356,ETNP_300,36.26,2,0,0,0,2,0,,,,9.1E5,,1,1,0,0,0,1,0,,44985,Citrate synthase
1436,2357,ETNP_300,36.26,2,0,0,0,2,0,,,,9.1E5,,1,1,0,0,0,1,0,,47706,Citrate synthase
1436,2358,ETNP_180,36.26,2,0,0,0,2,0,,,,9.1E5,,1,1,0,0,0,1,0,,48012,Citrate synthase
1436,2359,ETNP14_68,36.26,2,0,0,0,2,0,,,,9.1E5,,1,1,0,0,0,1,0,,48654,Citrate synthase
1436,2360,ETNP_300,36.26,2,0,0,0,2,0,,,,9.1E5,,1,1,0,0,0,1,0,,49993,Citrate synthase
385,3293,XP_003058054,36.24,0,0,0,0,0,0,,,,,,3,0,1,0,2,0,0,,701830,predicted protein  Micromonas pusilla CCMP1545
434,9025,ABS63953.1,36.12,1,0,0,1,0,0,,,,,,3,0,1,0,2,0,0,,131162,conserved hypothetical protein [Parvibaculum lavamentivorans DS-1]
251,4305,ETNP14_68,36.09,2,2,0,2,0,0,8.28E5,,2.46E7,,,2,2,1,0,4,0,0,,51370,hypothetical protein
867,5737,WP_011394888,36.02,3,0,0,3,0,0,,,,,,2,0,0,0,2,0,0,,49694,F0F1 ATP synthase subunit beta Hahella chejuensis
2539,2363,WP_012561281,36.00,3,0,0,0,3,0,,,,9.78E4,,1,1,0,0,0,1,0,,39300,peptide chain release factor 1 Oligotropha carboxidovorans
351,4460,ACY17828.1,35.94,4,1,0,1,2,0,,,,3.54E5,,3,1,2,0,1,1,0,,63128,GTP-binding proten HflX [Haliangium ochraceum DSM 14365]
368,3062,ADO98490.1,35.92,1,0,0,0,0,0,,0E0,,,,3,1,0,1,2,0,0,,704932,structural protein [Prochlorococcus phage P-RSM4]
368,3063,YP_004323235.1,35.92,1,0,0,0,0,0,,0E0,,,,3,1,0,1,2,0,0,,704932,structural protein [Prochlorococcus phage P-RSM4]
765,2542,WP_009773240.1,35.83,3,0,0,0,3,0,,,,,,2,0,0,0,0,2,0,,72547,cell division protein FtsH [marine actinobacterium PHSC20C1]
765,2729,WP_010204036.1,35.83,3,0,0,0,3,0,,,,,,2,0,0,0,0,2,0,,72186,cell division protein FtsH [Salinibacterium sp. PAMC 21357]
366,3031,virus_CCADEAMM_08007,35.76,1,0,0,0,1,0,,,,2.55E6,,3,3,0,0,0,3,0,,613090,hypothetical protein
1795,2435,ETNP_120,35.72,9,0,0,0,0,9,,,,,3.56E5,1,1,0,0,0,0,1,,12693,50S ribosomal protein L7/L12
1795,2436,ETNP_100,35.72,9,0,0,0,0,9,,,,,3.56E5,1,1,0,0,0,0,1,,12693,50S ribosomal protein L7/L12
1795,2437,ABQ69822.1,35.72,9,0,0,0,0,9,,,,,3.56E5,1,1,0,0,0,0,1,,12864,LSU ribosomal protein L12P [Sphingomonas wittichii RW1]
1075,2738,XP_003078249,35.62,2,0,0,1,2,0,,,,,,2,0,0,0,1,1,0,,80251,26S proteasome AAA-ATPase subunit RPT4a ISS  Ostreococcus tauri
333,4844,WP_005008876,35.57,1,0,0,1,0,0,,,1.1E6,,,3,1,0,0,4,0,0,,214905,hypothetical protein Nitrospina gracilis
426,3450,ETNP_120,35.16,1,0,0,1,0,0,,,0E0,,,3,1,0,0,2,0,1,,234900,hypothetical protein
963,3624,WP_006232362.1,34.92,8,0,0,4,4,0,,,9.11E4,,,2,1,0,0,1,1,0,,23312,30S ribosomal protein S4 [Photobacterium profundum]
963,8688,ETNP14_68,34.92,8,0,0,4,4,0,,,9.11E4,,,2,1,0,0,1,1,0,,23499,30S ribosomal protein S4
963,8689,ETNP14_120,34.92,8,0,0,4,4,0,,,9.11E4,,,2,1,0,0,1,1,0,,23542,30S ribosomal protein S4
963,8690,WP_007233030,34.92,8,0,0,4,4,0,,,9.11E4,,,2,1,0,0,1,1,0,,23498,30S ribosomal protein S4 gamma proteobacterium HTCC2207
963,8691,WP_012519214,34.92,8,0,0,4,4,0,,,9.11E4,,,2,1,0,0,1,1,0,,23484,30S ribosomal protein S4 Alteromonas
963,8692,ETNP_120,34.92,8,0,0,4,4,0,,,9.11E4,,,2,1,0,0,1,1,0,,23463,30S ribosomal protein S4
963,8693,WP_011467465.1,34.92,8,0,0,4,4,0,,,9.11E4,,,2,1,0,0,1,1,0,,23276,30S ribosomal protein S4 [Saccharophagus degradans]
963,8694,ETNP14_120,34.92,8,0,0,4,4,0,,,9.11E4,,,2,1,0,0,1,1,0,,23484,30S ribosomal protein S4
963,8695,ETNP14_68,34.92,8,0,0,4,4,0,,,9.11E4,,,2,1,0,0,1,1,0,,23543,30S ribosomal protein S4
963,8696,WP_011587707.1,34.92,8,0,0,4,4,0,,,9.11E4,,,2,1,0,0,1,1,0,,23659,MULTISPECIES: 30S ribosomal protein S4 [Alcanivorax]
730,4919,EAP86923.1,34.91,1,0,0,1,0,0,,,,,,2,0,0,0,2,0,0,,106474,carbamoyl-phosphate synthase  large (or ammonia) subunit (carB) [Croceibacter atlanticus HTCC2559]
730,5914,ABE37560.1,34.91,2,0,0,2,0,0,,,,,,2,0,0,0,2,0,0,,56861,Acetyl-CoA hydrolase [Rhodopseudomonas palustris BisB5]
1028,9891,ETNP14_68,34.90,1,0,0,1,0,0,,,,,,2,0,0,0,2,0,0,Oxidation (M),115352,DNA-directed RNA polymerase subunit beta'
462,6255,ETNP_120,34.90,2,2,0,2,0,0,2.36E5,,3.07E5,,,2,1,1,0,2,0,0,,83676,ATP-dependent Clp protease ATP-binding subunit ClpA
766,2697,ETNP_100,34.67,38,0,0,0,38,0,,,,3.11E5,,2,2,0,0,0,2,0,,7908,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
766,2698,ETNP_120,34.67,29,0,0,0,29,0,,,,3.11E5,,2,2,0,0,0,2,0,,10167,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
766,2699,ETNP_300,34.67,29,0,0,0,29,0,,,,3.11E5,,2,2,0,0,0,2,0,,10167,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
766,2700,ETNP_120,34.67,29,0,0,0,29,0,,,,3.11E5,,2,2,0,0,0,2,0,,10167,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
766,2701,ETNP_180,34.67,29,0,0,0,29,0,,,,3.11E5,,2,2,0,0,0,2,0,,10167,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
766,2702,ETNP_160,34.67,29,0,0,0,29,0,,,,3.11E5,,2,2,0,0,0,2,0,,10167,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
766,2703,ETNP_140,34.67,29,0,0,0,29,0,,,,3.11E5,,2,2,0,0,0,2,0,,10167,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
766,2704,ETNP_120,34.67,22,0,0,0,22,0,,,,3.11E5,,2,2,0,0,0,2,0,,13327,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
766,2705,ETNP_150,34.67,22,0,0,0,22,0,,,,3.11E5,,2,2,0,0,0,2,0,,13327,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
640,3874,WP_053820627,34.56,1,0,0,1,0,0,,,0E0,,,2,1,1,0,1,0,0,,165936,glutamate synthase Candidatus Thioglobus singularis
998,8481,ETNP_120,34.56,3,0,0,3,0,0,,,,,,2,0,0,0,2,0,0,,40664,Macrolide export ATP-binding/permease protein MacB
864,5435,ETNP_90,34.55,29,0,0,29,0,0,,,9.04E5,,,2,2,0,0,2,0,0,,8803,Acyl carrier protein
864,5436,ETNP14_120,34.55,29,0,0,29,0,0,,,9.04E5,,,2,2,0,0,2,0,0,,8803,Acyl carrier protein
864,5437,WP_012518211,34.55,29,0,0,29,0,0,,,9.04E5,,,2,2,0,0,2,0,0,,8803,acyl carrier protein Alteromonadaceae
1791,1935,WP_013961764,34.54,4,0,0,0,4,0,,,,5.48E3,,1,1,0,0,0,1,0,Oxidation (M),45299,isocitrate dehydrogenase Roseobacter litoralis
1791,2375,ABG32243.1,34.54,4,0,0,0,4,0,,,,5.48E3,,1,1,0,0,0,1,0,Oxidation (M),45089,isocitrate dehydrogenase [Roseobacter denitrificans OCh 114]
1789,1642,NP_100,34.51,2,0,0,0,2,0,,,,1.12E5,,1,1,0,0,0,1,0,,57669,Succinate dehydrogenase flavoprotein subunit
1789,1643,SAR11,34.51,2,0,0,0,2,0,,,,1.12E5,,1,1,0,0,0,1,0,,65034,Succinate dehydrogenase flavoprotein subunit
1789,1654,NP_85,34.51,4,0,0,0,4,0,,,,1.12E5,,1,1,0,0,0,1,0,,40493,Succinate dehydrogenase flavoprotein subunit
1789,1812,ETNP_120,34.51,3,0,0,0,3,0,,,,1.12E5,,1,1,0,0,0,1,0,,48878,Succinate dehydrogenase flavoprotein subunit
1071,2458,XP_003079935,34.44,6,0,0,0,6,6,,,,2.31E6,0E0,1,1,0,0,0,1,1,Carbamidomethylation,20579,Rac3 ISS  Ostreococcus tauri
754,9466,ACY12665.1,34.43,0,0,0,0,0,0,,,,,,2,0,0,0,2,0,0,,234941,hypothetical protein Hoch_0023 [Haliangium ochraceum DSM 14365]
957,2935,XP_003063226,34.40,1,0,0,0,1,1,,,,3.91E5,,2,1,0,0,0,1,1,,164225,isocitrate dehydrogenase citrate hydrolyase  Micromonas pusilla CCMP1545
484,2763,ETNP_120,34.32,2,0,0,0,2,0,,,,1.3E6,,2,2,0,0,0,3,0,,80285,Serine/threonine-protein kinase PknB
365,3106,Flavovirus_FBAKDGPJ_00290,34.29,3,3,0,2,2,0,,,,,,2,0,2,0,1,1,0,,40665,hypothetical protein
599,3239,Flavovirus_FBAKDGPJ_04117,34.27,1,0,0,0,0,0,0E0,,7.36E4,,,2,2,1,0,1,0,0,,315826,hypothetical protein
2540,2365,ETNP_70,34.23,6,0,0,0,6,0,,,,2.72E4,,1,1,0,0,0,1,0,,20508,peptide chain release factor 1
2540,2461,ETNP_60,34.23,10,0,0,0,10,0,,,,2.72E4,,1,1,0,0,0,1,0,,11049,peptide chain release factor 1
2540,2462,ETNP_70,34.23,6,0,0,0,6,0,,,,2.72E4,,1,1,0,0,0,1,0,,20265,peptide chain release factor 1
2540,2463,XP_002178515,34.23,2,0,0,0,2,0,,,,2.72E4,,1,1,0,0,0,1,0,,51681,predicted protein  Phaeodactylum tricornutum CCAP 1055
2540,2464,EJK75267,34.23,2,0,0,0,2,0,,,,2.72E4,,1,1,0,0,0,1,0,,51775,hypothetical protein THAOC_03013  Thalassiosira oceanica
489,5216,ETNP_300,34.22,2,0,1,1,0,0,,4.02E5,,,,2,1,0,2,1,0,0,,88888,Polyphosphate kinase
2100,1980,ETNP14_120,34.21,2,0,0,0,2,0,,,,2.39E5,,1,1,0,0,0,1,0,,66161,Malate synthase A
2100,2387,ETNP_90,34.21,2,0,0,0,2,0,,,,2.39E5,,1,1,0,0,0,1,0,,50575,Malate synthase A
2100,2465,EAP86820.1,34.21,2,0,0,0,2,0,,,,2.39E5,,1,1,0,0,0,1,0,,61454,malate synthase [Croceibacter atlanticus HTCC2559]
634,2828,WP_014705499,34.20,2,1,0,0,0,1,7.64E5,,,,,2,1,1,0,0,0,1,,81420,isocitrate dehydrogenase Methylophaga nitratireducenticrescens
412,4539,XP_003060683,34.14,2,0,0,0,2,0,,,,1.5E6,,3,2,0,0,1,2,0,,118944,predicted protein  Micromonas pusilla CCMP1545
953,2750,WP_013108459.1,33.88,3,0,0,1,2,0,,,,,,2,0,0,0,1,1,0,,51992,ATP synthase subunit beta [Planctopirus limnophila]
1081,3011,ETNP14_68,33.82,3,0,1,0,1,0,,0E0,,1.2E6,,2,2,0,1,0,1,0,,133483,Lectin C-type domain protein
1084,3144,ACL65063.1,33.78,2,1,0,0,0,1,,,,,,2,0,1,0,0,0,1,,80801,isocitrate dehydrogenase  NADP-dependent [Anaeromyxobacter dehalogenans 2CP-1]
1138,16406,ETNP_120,33.73,2,0,0,2,0,0,,,,,,2,0,0,0,2,0,0,,42165,von Willebrand factor type A domain protein
845,2913,ETNP_90,33.60,2,0,0,1,0,1,,,,,,2,0,0,0,1,0,1,,80946,Isocitrate dehydrogenase [NADP]
1019,8977,ETNP14_68,33.57,2,0,0,2,0,0,,,,,,2,0,0,0,2,0,0,,48586,hypothetical protein
769,2870,ETNP14_68,33.51,2,0,0,1,0,1,,,,,,2,0,0,0,1,0,1,,83186,Isocitrate dehydrogenase [NADP] 2
769,2873,NP_300,33.51,2,0,0,1,0,1,,,,,,2,0,0,0,1,0,1,,81433,Isocitrate dehydrogenase [NADP]
769,2874,ETNP_90,33.51,2,0,0,1,0,1,,,,,,2,0,0,0,1,0,1,,81248,Isocitrate dehydrogenase [NADP]
769,2875,ETNP_180,33.51,2,0,0,1,0,1,,,,,,2,0,0,0,1,0,1,,81446,Isocitrate dehydrogenase [NADP]
769,2876,ETNP_160,33.51,2,0,0,1,0,1,,,,,,2,0,0,0,1,0,1,,81266,Isocitrate dehydrogenase [NADP]
769,2964,NP_85,33.51,2,0,0,1,0,1,,,,,,2,0,0,0,1,0,1,,81330,Isocitrate dehydrogenase [NADP]
377,3615,MGII,33.51,2,0,0,1,1,0,,,0E0,5.66E4,,3,2,0,0,2,1,0,,268423,hypothetical protein
2541,2380,EJK61387,33.44,11,0,0,0,11,0,,,,1.38E5,,1,1,0,0,0,1,0,,14749,hypothetical protein THAOC_18140  Thalassiosira oceanica
2889,2497,ETNP_100,33.43,10,0,0,0,0,10,,,,,2.75E5,1,1,0,0,0,0,1,,10965,ATP synthase subunit c
