ProteinID,Alignments,SpecCounts,Unique,Coverage,Protein description
PMM0758,9,9,9,0.164,| sir | sulfite reductase subunit beta9990.164| sir | sulfite reductase subunit beta
PMM0759,4,4,4,0.053,| glyS | glycyl-tRNA synthetase beta subunit4440.053| glyS | glycyl-tRNA synthetase beta subunit
PMM0760,10,13,10,0.21,| chlP | aromatic-ring hydroxylase (flavoprotein monooxygenase)1013100.21| chlP | aromatic-ring hydroxylase (flavoprotein monooxygenase)
PMM0761,1,1,1,0.029,| PMM0761 | putative carboxypeptidase1110.029| PMM0761 | putative carboxypeptidase
PMM0762,3,3,3,0.053,| typA | tyrosine binding protein3330.053| typA | tyrosine binding protein
PMM0764,4,4,4,0.132,| PMM0764 | ABC transporter ATP-binding protein4440.132| PMM0764 | ABC transporter ATP-binding protein
PMM0766,1,6,1,0.028,| rpe | ribulose-phosphate 3-epimerase1610.028| rpe | ribulose-phosphate 3-epimerase
PMM0767,4,4,4,0.075,| glpX | fructose 14440.075| glpX | fructose 1
PMM0768,1,1,0,0.016,| hemA | glutamyl-tRNA reductase1100.016| hemA | glutamyl-tRNA reductase
PMM0769,5,8,5,0.102,| glgC | glucose-1-phosphate adenylyltransferase5850.102| glgC | glucose-1-phosphate adenylyltransferase
PMM0770,4,4,4,0.106,| gnd | 6-phosphogluconate dehydrogenase4440.106| gnd | 6-phosphogluconate dehydrogenase
PMM0771,2,2,2,0.078,| PMM0771 | putative 6-phosphogluconolactonase (DevB2220.078| PMM0771 | putative 6-phosphogluconolactonase (DevB
PMM0772,1,1,1,0.066,| PMM0772 | hypothetical protein1110.066| PMM0772 | hypothetical protein
PMM0773,3,3,3,0.195,| PMM0773 | hypothetical protein3330.195| PMM0773 | hypothetical protein
PMM0774,4,6,4,0.066,| ilvD | dihydroxy-acid dehydratase4640.066| ilvD | dihydroxy-acid dehydratase
PMM0775,1,2,1,0.125,| PMM0775 | hypothetical protein1210.125| PMM0775 | hypothetical protein
PMM0776,3,3,3,0.132,| PMM0776 | putative uracil phosphoribosyltransferase3330.132| PMM0776 | putative uracil phosphoribosyltransferase
PMM0777,2,2,2,0.076,| PMM0777 | hypothetical protein2220.076| PMM0777 | hypothetical protein
PMM0778,2,2,2,0.066,| cobW | putative cobalamin synthesis protein2220.066| cobW | putative cobalamin synthesis protein
PMM0779,3,3,3,0.289,| PMM0779 | hypothetical protein3330.289| PMM0779 | hypothetical protein
PMM0780,2,2,2,0.104,| purQ | phosphoribosylformylglycinamidine synthase I2220.104| purQ | phosphoribosylformylglycinamidine synthase I
PMM0781,7,12,7,0.16,| cbbA71270.16| cbbAfbaAfda | fructose-16-bisphosphate aldolase
PMM0782,4,4,4,0.087,| PMM0782 | putative oxidoreductase4440.087| PMM0782 | putative oxidoreductase
PMM0783,2,4,2,0.171,| PMM0783 | hypothetical protein2420.171| PMM0783 | hypothetical protein
PMM0784,4,4,4,0.127,| accD | acetyl-CoA carboxylase subunit beta4440.127| accD | acetyl-CoA carboxylase subunit beta
PMM0785,6,6,6,0.237,| prk | phosphoribulokinase6660.237| prk | phosphoribulokinase
PMM0786,1,1,1,0.036,| leuB | 3-isopropylmalate dehydrogenase1110.036| leuB | 3-isopropylmalate dehydrogenase
PMM0787,1,1,1,0.038,| lpxD | UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase1110.038| lpxD | UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
PMM0788,2,2,2,0.069,| proB | gamma-glutamyl kinase2220.069| proB | gamma-glutamyl kinase
PMM0789,4,6,4,0.25,| PMM0789 | hypothetical protein4640.25| PMM0789 | hypothetical protein
PMM0790,1,1,1,0.067,| PMM0790 | hypothetical protein1110.067| PMM0790 | hypothetical protein
PMM0792,3,3,3,0.077,| PMM0792 | hypothetical protein3330.077| PMM0792 | hypothetical protein
PMM0793,2,3,2,0.047,| PMM0793 | hypothetical protein2320.047| PMM0793 | hypothetical protein
PMM0794,1,1,1,0.061,| PMM0794 | hypothetical protein1110.061| PMM0794 | hypothetical protein
PMM0795,1,1,1,0.017,| PMM0795 | hypothetical protein1110.017| PMM0795 | hypothetical protein
PMM0796,1,1,1,0.031,| hisA | 1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase1110.031| hisA | 1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
PMM0797,7,9,7,0.232,| PMM0797 | putative mRNA binding protein7970.232| PMM0797 | putative mRNA binding protein
PMM0799,2,2,2,0.074,| PMM0799 | hypothetical protein2220.074| PMM0799 | hypothetical protein
PMM0800,1,2,1,0.194,| PMM0800 | hypothetical protein1210.194| PMM0800 | hypothetical protein
PMM0801,3,3,3,0.151,| ycf39 | putative NADH-flavin reductase3330.151| ycf39 | putative NADH-flavin reductase
PMM0802,2,2,2,0.069,| PMM0802 | putative endonuclease2220.069| PMM0802 | putative endonuclease
PMM0803,2,2,2,0.062,| futC | ABC transporter ATP-binding protein2220.062| futC | ABC transporter ATP-binding protein
PMM0804,3,6,3,0.103,| PMM0804 | ferritin3630.103| PMM0804 | ferritin
PMM0808,1,1,1,0.02,| PMM0808 | Rieske iron-sulfur protein 2Fe-2S subunit1110.02| PMM0808 | Rieske iron-sulfur protein 2Fe-2S subunit
PMM0809,1,1,1,0.096,| PMM0809 | S1 RNA-binding domain-containing protein1110.096| PMM0809 | S1 RNA-binding domain-containing protein
PMM0810,4,4,4,0.204,| PMM0810 | hypothetical protein4440.204| PMM0810 | hypothetical protein
PMM0821,1,1,1,0.028,| PMM0821 | L-asparaginase II1110.028| PMM0821 | L-asparaginase II
PMM0823,2,2,2,0.167,| PMM0823 | domain of unknown function DUF143:Iojap-related protein2220.167| PMM0823 | domain of unknown function DUF143:Iojap-related protein
PMM0824,2,2,2,0.075,| PMM0824 | hypothetical protein2220.075| PMM0824 | hypothetical protein
PMM0825,6,6,6,0.053,| carB | carbamoyl-phosphate synthase6660.053| carB | carbamoyl-phosphate synthase
PMM0827,5,5,5,0.079,| PMM0827 | ABC transporter5550.079| PMM0827 | ABC transporter
PMM0829,2,2,2,0.087,| tpiA | triosephosphate isomerase2220.087| tpiA | triosephosphate isomerase
PMM0831,6,6,6,0.048,| chlH | magnesium chelatase subunit H6660.048| chlH | magnesium chelatase subunit H
PMM0832,4,4,4,0.195,| dapB | dihydrodipicolinate reductase4440.195| dapB | dihydrodipicolinate reductase
PMM0834,1,1,0,0.018,| ubiH | 2-octaprenyl-6-methoxyphenol 4-monoxygenase UbiH1100.018| ubiH | 2-octaprenyl-6-methoxyphenol 4-monoxygenase UbiH
PMM0838,2,2,2,0.139,| PMM0838 | nucleoside diphosphate kinase2220.139| PMM0838 | nucleoside diphosphate kinase
PMM0839,2,2,1,0.014,| PMM0839 | transcriptional-repair coupling factor2210.014| PMM0839 | transcriptional-repair coupling factor
PMM0840,1,1,1,0.034,| PMM0840 | hypothetical protein1110.034| PMM0840 | hypothetical protein
PMM0841,1,1,1,0.034,| fmt | putative methionyl-tRNA formyltransferase1110.034| fmt | putative methionyl-tRNA formyltransferase
PMM0845,3,3,3,0.071,| PMM0845 | hypothetical protein3330.071| PMM0845 | hypothetical protein
PMM0847,14,15,14,0.143,| zam | putative acetazolamide conferring resistance protein Zam1415140.143| zam | putative acetazolamide conferring resistance protein Zam
PMM0852,1,2,1,0.111,| PMM0852 | hypothetical protein1210.111| PMM0852 | hypothetical protein
PMM0854,7,7,7,0.115,| ftsH4 | cell division protein FtsH47770.115| ftsH4 | cell division protein FtsH4
PMM0856,4,4,4,0.206,| tpx | thioredoxin peroxidase4440.206| tpx | thioredoxin peroxidase
PMM0862,2,2,2,0.112,| PMM0862 | SpoU family tRNA/rRNA methyltransferase2220.112| PMM0862 | SpoU family tRNA/rRNA methyltransferase
PMM0863,1,1,1,0.066,| cobU/cobP | putative cobinamide kinase1110.066| cobU/cobP | putative cobinamide kinase
PMM0864,1,5,1,0.067,| PMM0864 | fusion glycoprotein F01510.067| PMM0864 | fusion glycoprotein F0
PMM0865,1,1,1,0.034,| PMM0865 | hypothetical protein1110.034| PMM0865 | hypothetical protein
PMM0867,6,7,6,0.125,| metG | methionyl-tRNA synthetase6760.125| metG | methionyl-tRNA synthetase
PMM0868,1,1,1,0.018,| PMM0868 | ribonuclease II1110.018| PMM0868 | ribonuclease II
PMM0869,1,1,1,0.096,| rpsR | 30S ribosomal protein S181110.096| rpsR | 30S ribosomal protein S18
PMM0870,1,1,1,0.172,| rpmG | 50S ribosomal protein L331110.172| rpmG | 50S ribosomal protein L33
PMM0871,10,10,10,0.106,| pheT | phenylalanyl-tRNA synthetase subunit beta1010100.106| pheT | phenylalanyl-tRNA synthetase subunit beta
PMM0874,1,1,1,0.033,| PMM0874 | putative ATP adenylyltransferase1110.033| PMM0874 | putative ATP adenylyltransferase
PMM0875,1,1,1,0.069,| PMM0875 | hypothetical protein1110.069| PMM0875 | hypothetical protein
PMM0876,1,1,1,0.164,| PMM0876 | hypothetical protein1110.164| PMM0876 | hypothetical protein
PMM0877,11,12,11,0.089,| metH | putative methionine synthase1112110.089| metH | putative methionine synthase
PMM0878,7,9,7,0.27,| ilvE | branched-chain amino acid aminotransferase7970.27| ilvE | branched-chain amino acid aminotransferase
PMM0879,1,1,1,0.007,| CobN | cobalamin biosynthetic protein CobN1110.007| CobN | cobalamin biosynthetic protein CobN
PMM0881,1,1,1,0.045,| PMM0881 | hypothetical protein1110.045| PMM0881 | hypothetical protein
PMM0882,1,3,1,0.009,| uvrC | excinuclease ABC subunit C1310.009| uvrC | excinuclease ABC subunit C
PMM0883,2,3,2,0.136,| PMM0883 | hypothetical protein2320.136| PMM0883 | hypothetical protein
PMM0885,1,1,1,0.025,| dacB | D-Ala-D-Ala carboxypeptidase 31110.025| dacB | D-Ala-D-Ala carboxypeptidase 3
PMM0886,3,3,3,0.074,| PMM0886 | hypothetical protein3330.074| PMM0886 | hypothetical protein
PMM0887,2,2,2,0.041,| nifS | class-V aminotransferase family cysteine desulfurase2220.041| nifS | class-V aminotransferase family cysteine desulfurase
PMM0888,5,5,5,0.157,| dapF | diaminopimelate epimerase5550.157| dapF | diaminopimelate epimerase
PMM0889,10,11,10,0.125,| leuS | leucyl-tRNA synthetase1011100.125| leuS | leucyl-tRNA synthetase
PMM0890,6,6,6,0.097,| pgi | glucose-6-phosphate isomerase6660.097| pgi | glucose-6-phosphate isomerase
PMM0891,1,1,1,0.064,| purN | phosphoribosylglycinamide formyltransferase1110.064| purN | phosphoribosylglycinamide formyltransferase
PMM0892,3,3,3,0.103,| argC | N-acetyl-gamma-glutamyl-phosphate reductase3330.103| argC | N-acetyl-gamma-glutamyl-phosphate reductase
PMM0893,2,2,2,0.033,| ribA/ribB | bifunctional 32220.033| ribA/ribB | bifunctional 3
PMM0894,1,1,1,0.062,| PMM0894 | cyclophilin-type peptidyl-prolyl cis-trans isomerase1110.062| PMM0894 | cyclophilin-type peptidyl-prolyl cis-trans isomerase
PMM0896,1,1,1,0.032,| dnaJ2 | DnaJ2 protein1110.032| dnaJ2 | DnaJ2 protein
PMM0897,4,4,4,0.068,| dnaK | molecular chaperone DnaK4440.068| dnaK | molecular chaperone DnaK
PMM0899,2,2,2,0.089,| PMM0899 | myo-inositol-1(or 4)-monophosphatase2220.089| PMM0899 | myo-inositol-1(or 4)-monophosphatase
PMM0900,2,2,2,0.039,| hisZ | ATP phosphoribosyltransferase regulatory subunit2220.039| hisZ | ATP phosphoribosyltransferase regulatory subunit
PMM0901,34,47,31,0.35,| htpG | heat shock protein 903447310.35| htpG | heat shock protein 90
PMM0902,1,1,1,0.09,| rpmB | 50S ribosomal protein L281110.09| rpmB | 50S ribosomal protein L28
PMM0903,1,1,1,0.051,| PMM0903 | Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergens family protein1110.051| PMM0903 | Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergens family protein
PMM0906,5,6,5,0.425,| psaK | photosystem I PsaK protein (subunit X)5650.425| psaK | photosystem I PsaK protein (subunit X)
PMM0907,1,1,1,0.017,| Dxs | 1-deoxy-D-xylulose-5-phosphate synthase1110.017| Dxs | 1-deoxy-D-xylulose-5-phosphate synthase
PMM0908,4,4,4,0.096,| ilvA | threonine dehydratase4440.096| ilvA | threonine dehydratase
PMM0909,1,1,1,0.062,| PMM0909 | hypothetical protein1110.062| PMM0909 | hypothetical protein
PMM0912,6,6,6,0.092,| pykF | pyruvate kinase6660.092| pykF | pyruvate kinase
PMM0913,1,1,1,0.02,| PMM0913 | putative ABC transporter1110.02| PMM0913 | putative ABC transporter
PMM0916,1,1,1,0.014,| PMM0916 | hypothetical protein1110.014| PMM0916 | hypothetical protein
PMM0917,1,1,1,0.022,| PMM0917 | pyridoxal-dependent decarboxylase family protein1110.022| PMM0917 | pyridoxal-dependent decarboxylase family protein
PMM0918,1,1,1,0.042,| PMM0918 | putative cytidine/deoxycytidylate deaminase1110.042| PMM0918 | putative cytidine/deoxycytidylate deaminase
PMM0919,3,3,3,0.058,| spt | serine:pyruvate/alanine:glyoxylate aminotransferase3330.058| spt | serine:pyruvate/alanine:glyoxylate aminotransferase
PMM0920,5,7,5,0.114,| glnA | glutamine synthetase5750.114| glnA | glutamine synthetase
PMM0924,3,3,2,0.082,| PMM0924 | hypothetical protein3320.082| PMM0924 | hypothetical protein
PMM0925,1,1,1,0.023,| PMM0925 | tRNA 2-selenouridine synthase1110.023| PMM0925 | tRNA 2-selenouridine synthase
PMM0926,1,1,1,0.094,| psb28 | photosystem II reaction center protein Psb281110.094| psb28 | photosystem II reaction center protein Psb28
PMM0927,2,2,2,0.055,| PMM0927 | hypothetical protein2220.055| PMM0927 | hypothetical protein
PMM0928,2,2,2,0.072,| secF | preprotein translocase subunit SecF2220.072| secF | preprotein translocase subunit SecF
PMM0929,5,5,5,0.076,| secD | preprotein translocase subunit SecD5550.076| secD | preprotein translocase subunit SecD
PMM0930,4,5,4,0.095,| pdhB | pyruvate dehydrogenase E1 beta subunit4540.095| pdhB | pyruvate dehydrogenase E1 beta subunit
PMM0932,1,1,1,0.026,| ispE | 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase1110.026| ispE | 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
PMM0935,3,3,3,0.124,| PMM0935 | hypothetical protein3330.124| PMM0935 | hypothetical protein
PMM0938,1,2,1,0.053,| PMM0938 | Serine hydroxymethyltransferase1210.053| PMM0938 | Serine hydroxymethyltransferase
PMM0939,1,1,1,0.013,| dnaG | DNA primase1110.013| dnaG | DNA primase
PMM0941,1,3,1,0.067,| PMM0941 | cAMP phosphodiesterase class-II1310.067| PMM0941 | cAMP phosphodiesterase class-II
PMM0942,2,2,2,0.096,| ruvA | putative holliday junction DNA helicase RuvA2220.096| ruvA | putative holliday junction DNA helicase RuvA
PMM0944,1,1,1,0.054,| PMM0944 | hypothetical protein1110.054| PMM0944 | hypothetical protein
PMM0945,2,2,2,0.014,| dnaE | DNA polymerase III subunit alpha2220.014| dnaE | DNA polymerase III subunit alpha
PMM0946,10,11,10,0.182,| gatA | aspartyl/glutamyl-tRNA amidotransferase subunit A1011100.182| gatA | aspartyl/glutamyl-tRNA amidotransferase subunit A
PMM0947,1,2,1,0.1,| PMM0947 | hypothetical protein1210.1| PMM0947 | hypothetical protein
PMM0948,3,3,2,0.058,| PMM0948 | tRNA/rRNA methyltransferase3320.058| PMM0948 | tRNA/rRNA methyltransferase
PMM0949,1,1,1,0.062,| PMM0949 | hypothetical protein1110.062| PMM0949 | hypothetical protein
PMM0950,5,6,5,0.346,| rsbV | anti-anti-sigma regulatory factor RsbV5650.346| rsbV | anti-anti-sigma regulatory factor RsbV
PMM0951,1,1,1,0.018,| carA | carbamoyl phosphate synthase small subunit1110.018| carA | carbamoyl phosphate synthase small subunit
PMM0953,1,1,1,0.092,| PMM0953 | hypothetical protein1110.092| PMM0953 | hypothetical protein
PMM0955,7,7,7,0.277,| msrA | peptide methionine sulfoxide reductase7770.277| msrA | peptide methionine sulfoxide reductase
PMM0957,1,1,1,0.109,| PMM0957 | GRAM domain-containing protein1110.109| PMM0957 | GRAM domain-containing protein
PMM0959,1,1,1,0.025,| PMM0959 | putative kinase1110.025| PMM0959 | putative kinase
PMM0960,4,4,4,0.131,| PMM0960 | mannosyl-3-phosphoglycerate phosphatase4440.131| PMM0960 | mannosyl-3-phosphoglycerate phosphatase
PMM0962,4,5,4,0.118,| PMM0962 | hypothetical protein4540.118| PMM0962 | hypothetical protein
PMM0963,3,3,3,0.054,| ureC | urease subunit alpha3330.054| ureC | urease subunit alpha
PMM0967,1,1,1,0.052,| ureE | urease accessory protein UreE1110.052| ureE | urease accessory protein UreE
PMM0969,3,3,3,0.154,| ureG | urease accessory protein UreG3330.154| ureG | urease accessory protein UreG
PMM0970,5,5,5,0.128,| urtA | putative urea ABC transporter5550.128| urtA | putative urea ABC transporter
PMM0973,2,2,2,0.068,| urtD | putative ATP binding subunit of urea ABC transport system2220.068| urtD | putative ATP binding subunit of urea ABC transport system
PMM0974,2,2,2,0.106,| urtE | putative ATP-binding subunit of urea ABC transport system2220.106| urtE | putative ATP-binding subunit of urea ABC transport system
PMM0976,1,1,1,0.021,| PMM0976 | putative multidrug efflux ABC transporter1110.021| PMM0976 | putative multidrug efflux ABC transporter
PMM0980,2,2,2,0.293,| PMM0980 | hypothetical protein2220.293| PMM0980 | hypothetical protein
PMM0982,1,1,1,0.088,| PMM0982 | HNH endonuclease:HNH nuclease1110.088| PMM0982 | HNH endonuclease:HNH nuclease
PMM0986,2,2,2,0.13,| PMM0986 | hypothetical protein2220.13| PMM0986 | hypothetical protein
PMM0987,1,1,1,0.138,| rpsU | 30S ribosomal protein S211110.138| rpsU | 30S ribosomal protein S21
PMM0988,2,3,2,0.127,| PMM0988 | helix-hairpin-helix DNA-binding motif-containing protein2320.127| PMM0988 | helix-hairpin-helix DNA-binding motif-containing protein
PMM0989,3,3,3,0.149,| PMM0989 | ATP/GTP-binding motif-containing protein3330.149| PMM0989 | ATP/GTP-binding motif-containing protein
PMM0992,3,4,3,0.194,| PMM0992 | hypothetical protein3430.194| PMM0992 | hypothetical protein
PMM0995,1,1,1,0.086,| PMM0995 | hypothetical protein1110.086| PMM0995 | hypothetical protein
PMM0996,3,4,3,0.305,| PMM0996 | hypothetical protein3430.305| PMM0996 | hypothetical protein
PMM1002,1,1,1,0.008,| pepN | aminopeptidase N1110.008| pepN | aminopeptidase N
PMM1004,1,1,1,0.033,| purT | phosphoribosylglycinamide formyltransferase 21110.033| purT | phosphoribosylglycinamide formyltransferase 2
PMM1005,1,1,1,0.188,| PMM1005 | lectin subunit alpha1110.188| PMM1005 | lectin subunit alpha
PMM1007,2,2,2,0.126,| PMM1007 | hypothetical protein2220.126| PMM1007 | hypothetical protein
PMM1008,1,1,1,0.054,| PMM1008 | hypothetical protein1110.054| PMM1008 | hypothetical protein
PMM1009,1,1,1,0.026,| PMM1009 | nitrogen regulation protein NifR3 family protein1110.026| PMM1009 | nitrogen regulation protein NifR3 family protein
PMM1010,1,1,1,0.083,| PMM1010 | hypothetical protein1110.083| PMM1010 | hypothetical protein
PMM1014,2,2,2,0.055,| PMM1014 | hypothetical protein2220.055| PMM1014 | hypothetical protein
PMM1015,1,1,1,0.082,| PMM1015 | hypothetical protein1110.082| PMM1015 | hypothetical protein
PMM1016,1,1,1,0.072,| PMM1016 | virion host shutoff protein1110.072| PMM1016 | virion host shutoff protein
PMM1017,1,1,1,0.044,| PMM1017 | hypothetical protein1110.044| PMM1017 | hypothetical protein
PMM1021,2,2,2,0.092,| PMM1021 | pili assembly chaperone2220.092| PMM1021 | pili assembly chaperone
PMM1025,1,1,1,0.081,| PMM1025 | putative stress-induced protein OsmC1110.081| PMM1025 | putative stress-induced protein OsmC
PMM1026,1,1,1,0.084,| PMM1026 | hypothetical protein1110.084| PMM1026 | hypothetical protein
PMM1027,2,2,2,0.188,| PMM1027 | inward rectifier potassium channel2220.188| PMM1027 | inward rectifier potassium channel
PMM1031,2,2,2,0.076,| PMM1031 | ABC transporter ATP-binding protein2220.076| PMM1031 | ABC transporter ATP-binding protein
PMM1032,1,2,1,0.023,| PMM1032 | ABC transporter substrate-binding protein1210.023| PMM1032 | ABC transporter substrate-binding protein
PMM1033,8,12,8,0.175,| PMM1033 | cobalamin synthesis protein/P47K81280.175| PMM1033 | cobalamin synthesis protein/P47K
PMM1034,1,1,1,0.022,| PMM1034 | WD-40 repeat-containing G-protein1110.022| PMM1034 | WD-40 repeat-containing G-protein
PMM1038,1,2,1,0.019,| PMM1038 | hypothetical protein1210.019| PMM1038 | hypothetical protein
PMM1039,1,1,1,0.019,| PMM1039 | hypothetical protein1110.019| PMM1039 | hypothetical protein
PMM1042,1,1,1,0.11,| PMM1042 | hpothetical protein1110.11| PMM1042 | hpothetical protein
PMM1048,1,1,1,0.024,| PMM1048 | putative ABC transporter1110.024| PMM1048 | putative ABC transporter
PMM1049,2,3,2,0.029,| PMM1049 | ABC transporter substrate-binding protein2320.029| PMM1049 | ABC transporter substrate-binding protein
PMM1051,5,6,5,0.118,| thrA5650.118| thrA
PMM1052,2,3,2,0.163,| PMM1052 | hypothetical protein2320.163| PMM1052 | hypothetical protein
PMM1053,1,1,1,0.065,| PMM1053 | hypothetical protein1110.065| PMM1053 | hypothetical protein
PMM1055,11,14,11,0.285,| chlI | protoporphyrin IX magnesium chelatase subunit ChlI1114110.285| chlI | protoporphyrin IX magnesium chelatase subunit ChlI
PMM1056,1,1,1,0.045,| PMM1056 | tRNA/rRNA methyltransferase1110.045| PMM1056 | tRNA/rRNA methyltransferase
PMM1060,2,2,2,0.107,| hisH | imidazole glycerol phosphate synthase subunit HisH2220.107| hisH | imidazole glycerol phosphate synthase subunit HisH
PMM1061,8,13,8,0.458,| trxA | thioredoxin81380.458| trxA | thioredoxin
PMM1062,9,9,8,0.261,| guaB | inosine 5-monophosphate dehydrogenase9980.261| guaB | inosine 5-monophosphate dehydrogenase
PMM1063,10,11,10,0.095,| gyrA | DNA gyrase subunit A1011100.095| gyrA | DNA gyrase subunit A
PMM1064,5,5,5,0.119,| crtL1 | putative lycopene beta cyclase5550.119| crtL1 | putative lycopene beta cyclase
PMM1065,6,6,6,0.11,| PMM1065 | hypothetical protein6660.11| PMM1065 | hypothetical protein
PMM1066,4,4,4,0.081,| leuA | 2-isopropylmalate synthase4440.081| leuA | 2-isopropylmalate synthase
PMM1068,1,1,1,0.02,| PMM1068 | hypothetical protein1110.02| PMM1068 | hypothetical protein
PMM1069,3,3,3,0.077,| folD | putative bifunctional methylenetetrahydrofolate dehydrogenase methenyltetrahydrofolate/cyclohydrolase3330.077| folD | putative bifunctional methylenetetrahydrofolate dehydrogenase methenyltetrahydrofolate/cyclohydrolase
PMM1070,3,3,3,0.11,| crtE | polyprenyl synthetase3330.11| crtE | polyprenyl synthetase
PMM1072,2,2,2,0.043,| cbiA2220.043| cbiAc-diamide synthase
PMM1073,7,7,7,0.15,| PMM1073 | putative glucose 6-phosphate dehydrogenase effector OpcA7770.15| PMM1073 | putative glucose 6-phosphate dehydrogenase effector OpcA
PMM1074,7,8,7,0.107,| zwf | glucose-6-phosphate 1-dehydrogenase7870.107| zwf | glucose-6-phosphate 1-dehydrogenase
PMM1075,10,15,10,0.205,| petH | ferredoxin-NADP oxidoreductase (FNR)1015100.205| petH | ferredoxin-NADP oxidoreductase (FNR)
PMM1076,1,1,1,0.062,| PMM1076 | hypothetical protein1110.062| PMM1076 | hypothetical protein
PMM1077,1,1,1,0.038,| PMM1077 | adaptive-response sensory kinase1110.038| PMM1077 | adaptive-response sensory kinase
PMM1078,2,2,2,0.089,| PMM1078 | hypothetical protein2220.089| PMM1078 | hypothetical protein
PMM1079,1,2,1,0.068,| PMM1079 | Villin headpiece domain-containing protein1210.068| PMM1079 | Villin headpiece domain-containing protein
PMM1080,1,1,1,0.024,| kprS | ribose-phosphate pyrophosphokinase1110.024| kprS | ribose-phosphate pyrophosphokinase
PMM1081,1,1,1,0.02,| malQ | putative 4-alpha-glucanotransferase1110.02| malQ | putative 4-alpha-glucanotransferase
PMM1082,1,1,1,0.049,| PMM1082 | helix-turn-helix1110.049| PMM1082 | helix-turn-helix
PMM1084,4,4,1,0.039,| cad | Orn/Lys/Arg decarboxylase family protein4410.039| cad | Orn/Lys/Arg decarboxylase family protein
PMM1087,3,3,2,0.077,| gldA | putative glycerol dehydrogenase3320.077| gldA | putative glycerol dehydrogenase
PMM1088,15,18,15,0.165,| clpC | ClpC1518150.165| clpC | ClpC
PMM1090,7,7,7,0.118,| lysA | diaminopimelate decarboxylase7770.118| lysA | diaminopimelate decarboxylase
PMM1091,3,3,3,0.111,| PMM1091 | hypothetical protein3330.111| PMM1091 | hypothetical protein
PMM1092,1,1,1,0.026,| uppS | undecaprenyl pyrophosphate synthetase1110.026| uppS | undecaprenyl pyrophosphate synthetase
PMM1097,1,2,1,0.035,| recR | recombination protein RecR1210.035| recR | recombination protein RecR
PMM1098,2,2,2,0.054,| psbP | photosystem II oxygen evolving complex protein PsbP2220.054| psbP | photosystem II oxygen evolving complex protein PsbP
PMM1099,3,3,3,0.059,| PMM1099 | multidrug ABC transporter3330.059| PMM1099 | multidrug ABC transporter
PMM1101,1,1,1,0.019,| PMM1101 | putative ATP-dependent RNA helicase1110.019| PMM1101 | putative ATP-dependent RNA helicase
PMM1102,1,1,1,0.014,| recD | exodeoxyribonuclease V 67 kD polypeptide1110.014| recD | exodeoxyribonuclease V 67 kD polypeptide
PMM1103,3,3,3,0.017,| recB | UvrD/REP helicase subunit B3330.017| recB | UvrD/REP helicase subunit B
PMM1105,1,1,1,0.009,| recC | exodeoxyribonuclease V subunit C 125 kD polypeptide1110.009| recC | exodeoxyribonuclease V subunit C 125 kD polypeptide
PMM1106,3,4,3,0.267,| PMM1106 | hypothetical protein3430.267| PMM1106 | hypothetical protein
PMM1107,3,3,3,0.08,| pdxJ | pyridoxine 5'-phosphate synthase3330.08| pdxJ | pyridoxine 5'-phosphate synthase
PMM1109,4,5,4,0.198,| PMM1109 | hypothetical protein4540.198| PMM1109 | hypothetical protein
PMM1110,3,3,3,0.474,| PMM1110 | BolA-like protein3330.474| PMM1110 | BolA-like protein
PMM1113,3,4,3,0.122,| PMM1113 | two-component response regulator3430.122| PMM1113 | two-component response regulator
PMM1114,1,1,1,0.048,| PMM1114 | hypothetical protein1110.048| PMM1114 | hypothetical protein
PMM1115,4,4,4,0.066,| crtH | putative carotenoid isomerase4440.066| crtH | putative carotenoid isomerase
PMM1116,1,1,1,0.015,| gidA | tRNA (uracil-5-)-methyltransferase Gid1110.015| gidA | tRNA (uracil-5-)-methyltransferase Gid
PMM1119,1,1,1,0.024,| som | porin1110.024| som | porin
PMM1120,2,2,2,0.036,| PMM1120 | TPR repeat-containing sulfotransferase2220.036| PMM1120 | TPR repeat-containing sulfotransferase
PMM1121,1,1,1,0.045,| som | porin1110.045| som | porin
PMM1122,2,2,2,0.146,| apt | adenine phosphoribosyltransferase2220.146| apt | adenine phosphoribosyltransferase
PMM1126,1,1,0,0.01,| PMM1126 | hypothetical protein1100.01| PMM1126 | hypothetical protein
PMM1129,1,2,1,0.131,| PMM1129 | Notch domain-containing protein1210.131| PMM1129 | Notch domain-containing protein
PMM1131,4,4,4,0.361,| PMM1131 | hypothetical protein4440.361| PMM1131 | hypothetical protein
PMM1132,1,1,1,0.014,| PMM1132 | hypothetical protein1110.014| PMM1132 | hypothetical protein
PMM1137,1,1,1,0.061,| PMM1137 | cytochrome b(C-terminal)/b6/petD1110.061| PMM1137 | cytochrome b(C-terminal)/b6/petD
