Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 233_JA4_265m_0.3_SKQ17_P2,Area 233_JA4_265m_0.3_SKQ17_P2,#Peptides,#Unique,#Spec 233_JA4_265m_0.3_SKQ17_P2,PTM,Avg. Mass,Description
270,404466,ETNP_180m_PROKKA_233667,57.19,17,17,1.46E6,3,3,3,,25464,Acetoacetyl-CoA reductase
270,404467,ETNP_120m_particle_PROKKA_129946,57.19,17,17,1.46E6,3,3,3,,25464,Acetoacetyl-CoA reductase
270,404468,NP_300m_PROKKA_06116,57.19,17,17,1.46E6,3,3,3,,25463,Acetoacetyl-CoA reductase
270,404469,ETNP_300m_PROKKA_38399,57.19,17,17,1.46E6,3,3,3,,25474,Acetoacetyl-CoA reductase
363,404879,ETNP_120m_PROKKA_144707,57.11,55,55,1.69E6,2,2,2,,3775,hypothetical protein
363,404880,ETNP_180m_PROKKA_155629,57.11,55,55,1.69E6,2,2,2,,3775,hypothetical protein
363,404884,NP_300m_PROKKA_18488,57.11,16,16,1.69E6,2,2,2,,12320,hypothetical protein
363,404885,ETNP_160m_PROKKA_169747,57.11,9,9,1.69E6,2,2,2,,21151,hypothetical protein
363,404886,ETNP_120m_PROKKA_69725,57.11,9,9,1.69E6,2,2,2,,22488,hypothetical protein
363,404887,NP_100m_PROKKA_17989,57.11,7,7,1.69E6,2,2,2,,28956,hypothetical protein
363,404888,ETNP_160m_PROKKA_137715,57.11,7,7,1.69E6,2,2,2,,28970,hypothetical protein
363,404889,ETNP_100m_particle_PROKKA_37556,57.11,4,4,1.69E6,2,2,2,,48024,hypothetical protein
205,404795,SAR11cell_DLNKFFIG_09271,56.98,8,8,3.21E5,3,2,3,,35032,hypothetical protein
260,404728,SAR11cell_DLNKFFIG_00013,56.11,6,6,1.68E5,2,1,2,,34075,hypothetical protein
296,404617,NP_300m_PROKKA_33857,55.67,8,8,6.96E5,2,2,2,,31669,putative ABC transporter-binding protein precursor
296,404618,NP_125m_PROKKA_09628,55.67,6,6,6.96E5,2,2,2,,40955,maltose ABC transporter periplasmic protein
296,404619,ETNP_110m_PROKKA_16294,55.67,5,5,6.96E5,2,2,2,,43571,maltose ABC transporter periplasmic protein
296,404620,NP_100m_PROKKA_08344,55.67,5,5,6.96E5,2,2,2,,43571,maltose ABC transporter periplasmic protein
296,404621,ETNP14_120maa_PROKKA_01943,55.67,5,5,6.96E5,2,2,2,,43571,maltose ABC transporter periplasmic protein
296,404622,NP_85m_PROKKA_05769,55.67,5,5,6.96E5,2,2,2,,43571,maltose ABC transporter periplasmic protein
224,404648,ETNP_150m_particle_PROKKA_19553,55.60,35,35,7.9E5,2,1,2,,7607,Cold shock-like protein CspE
224,404649,ETNP14_120mab_PROKKA_117577,55.60,35,35,7.9E5,2,1,2,,7755,Cold shock-like protein CspE
224,404650,NP_300m_PROKKA_34561,55.60,35,35,7.9E5,2,1,2,,7755,Cold shock-like protein CspE
224,404651,ETNP14_120mac_PROKKA_07130,55.60,35,35,7.9E5,2,1,2,,7741,Cold shock-like protein CspE
224,404652,ETNP_110m_PROKKA_49816,55.60,35,35,7.9E5,2,1,2,,7755,Cold shock-like protein CspE
224,404653,NP_85m_PROKKA_07735,55.60,34,34,7.9E5,2,1,2,,7869,Cold shock-like protein CspE
294,404495,ETNP_160m_PROKKA_51479,55.11,10,10,2.42E5,3,1,3,,40255,Receptor family ligand binding region
294,404496,ETNP_120m_PROKKA_133802,55.11,10,10,2.42E5,3,1,3,,40255,Receptor family ligand binding region
294,404515,ETNP_180m_PROKKA_61581,55.11,10,10,2.42E5,3,1,3,,40202,Receptor family ligand binding region
356,393878,ETNP_140m_PROKKA_39161,54.54,2,2,8.74E5,1,1,2,,63699,Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
356,393879,ETNP_120m_PROKKA_104890,54.54,2,2,8.74E5,1,1,2,,63699,Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
356,393880,ETNP_160m_PROKKA_11298,54.54,2,2,8.74E5,1,1,2,,63699,Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
356,393881,ETNP_120m_free_PROKKA_226201,54.54,2,2,8.74E5,1,1,2,,63699,Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
356,393882,ETNP_180m_PROKKA_236213,54.54,2,2,8.74E5,1,1,2,,63699,Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
356,393883,ETNP_300m_PROKKA_75120,54.54,2,2,8.74E5,1,1,2,,63699,Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
272,404816,ETNP14_120mac_PROKKA_13468,54.36,31,31,0E0,3,1,3,Oxidation (M),8999,DNA-binding protein HU
272,404817,NP_300m_PROKKA_26315,54.36,31,31,0E0,3,1,3,Oxidation (M),9012,DNA-binding protein HU
366,404993,NP_300m_PROKKA_38643,54.23,46,46,3.75E5,2,2,2,,6516,hypothetical protein
366,404994,ETNP14_120mab_PROKKA_21452,54.23,46,46,3.75E5,2,2,2,,6530,hypothetical protein
366,404995,ETNP_100m_PROKKA_62262,54.23,46,46,3.75E5,2,2,2,,6498,hypothetical protein
366,404996,ETNP_100m_particle_PROKKA_122718,54.23,46,46,3.75E5,2,2,2,,6498,hypothetical protein
366,404997,ETNP_120m_particle_PROKKA_00435,54.23,46,46,3.75E5,2,2,2,,6539,hypothetical protein
366,404998,ETNP14_120mab_PROKKA_158036,54.23,21,21,3.75E5,2,2,2,,14162,hypothetical protein
366,404999,NP_125m_PROKKA_13110,54.23,21,21,3.75E5,2,2,2,,14118,hypothetical protein
366,405000,NP_100m_PROKKA_16248,54.23,10,10,3.75E5,2,2,2,,31451,hypothetical protein
366,405001,NP_85m_PROKKA_20051,54.23,9,9,3.75E5,2,2,2,,31434,hypothetical protein
366,405002,SAR11cell_DLNKFFIG_05318,54.23,9,9,3.75E5,2,2,2,,33889,hypothetical protein
354,405268,ETNP_160m_PROKKA_93758,54.10,5,5,1.08E5,1,1,1,,40164,Bacterial extracellular solute-binding protein
354,405269,ETNP_120m_PROKKA_21017,54.10,5,5,1.08E5,1,1,1,,43346,Bacterial extracellular solute-binding protein
357,405401,ETNP_120m_PROKKA_92005,53.82,11,11,3.8E4,1,1,2,,18125,hypothetical protein
357,405402,ETNP_140m_PROKKA_144839,53.82,10,10,3.8E4,1,1,2,,21972,hypothetical protein
357,405403,ETNP_120m_PROKKA_03471,53.82,8,8,3.8E4,1,1,2,,27132,hypothetical protein
357,405404,ETNP_180m_PROKKA_111159,53.82,5,5,3.8E4,1,1,2,,44956,Receptor family ligand binding region
357,405405,NP_125m_PROKKA_03235,53.82,4,4,3.8E4,1,1,2,,48599,Receptor family ligand binding region
357,405406,ETNP_100m_particle_PROKKA_124700,53.82,4,4,3.8E4,1,1,2,,48735,Receptor family ligand binding region
357,405407,NP_300m_PROKKA_13552,53.82,4,4,3.8E4,1,1,2,,48692,Receptor family ligand binding region
306,404609,ETNP14_120maa_PROKKA_94169,53.75,32,32,1.02E6,3,1,3,Oxidation (M),10699,10 kDa chaperonin 1
215,405148,ETNP14_120mac_PROKKA_61145,53.30,31,31,9.19E5,2,2,2,,6834,hypothetical protein
215,405149,ETNP14_120mac_PROKKA_27756,53.30,31,31,9.19E5,2,2,2,,6836,hypothetical protein
215,405150,ETNP14_120mab_PROKKA_45480,53.30,31,31,9.19E5,2,2,2,,6838,hypothetical protein
215,405151,ETNP14_120maa_PROKKA_184391,53.30,31,31,9.19E5,2,2,2,,6808,hypothetical protein
171,392196,ETNP_100m_particle_PROKKA_82300,53.18,29,29,5.3E4,5,1,5,,14624,Tubulin/FtsZ family  GTPase domain
287,404632,ETNP_160m_PROKKA_63763,53.12,5,5,1.72E6,2,2,2,,58291,Heme-binding protein A precursor
287,404633,ETNP_140m_PROKKA_115142,53.12,5,5,1.72E6,2,2,2,,58291,Heme-binding protein A precursor
287,404634,NP_300m_PROKKA_10869,53.12,5,5,1.72E6,2,2,2,,58291,Heme-binding protein A precursor
287,404635,ETNP_120m_PROKKA_67998,53.12,5,5,1.72E6,2,2,2,,58291,Heme-binding protein A precursor
325,405163,ETNP_160m_PROKKA_211282,52.62,6,6,1.81E5,1,1,2,Deamidation (NQ),34527,C4-dicarboxylate-binding periplasmic protein precursor
325,405172,ETNP_120m_PROKKA_164900,52.62,8,8,1.81E5,1,1,2,Deamidation (NQ),24404,C4-dicarboxylate-binding periplasmic protein precursor
325,405173,ETNP_120m_free_PROKKA_289365,52.62,8,8,1.81E5,1,1,2,Deamidation (NQ),24418,C4-dicarboxylate-binding periplasmic protein precursor
325,405174,ETNP_120m_particle_PROKKA_50105,52.62,7,7,1.81E5,1,1,2,Deamidation (NQ),27437,C4-dicarboxylate-binding periplasmic protein precursor
325,405408,ETNP_120m_PROKKA_164899,52.62,30,30,1.81E5,1,1,2,Deamidation (NQ),6127,hypothetical protein
325,405409,ETNP_180m_PROKKA_18290,52.62,22,22,1.81E5,1,1,2,Deamidation (NQ),8485,hypothetical protein
373,405180,ETNP_140m_PROKKA_46667,51.94,6,6,1.46E4,1,1,1,,31620,Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain precursor
351,20448,WP_012845279,50.98,7,7,0E0,2,1,2,,26077,3-oxoacyl-ACP synthase Rhodothermus marinus
347,404937,NP_300m_PROKKA_12721,50.80,7,7,2.27E5,2,1,2,,25767,Acetoacetyl-CoA reductase
309,404929,ETNP_300m_PROKKA_135140,50.70,11,11,2.55E6,2,2,3,,27593,hypothetical protein
309,404930,ETNP_180m_PROKKA_68623,50.70,11,11,2.55E6,2,2,3,,27597,hypothetical protein
343,404721,ETNP_120m_PROKKA_142582,50.67,11,11,1.18E6,2,2,2,Carbamidomethylation,21631,Formate dehydrogenase iron-sulfur subunit
343,404722,ETNP_110m_PROKKA_12821,50.67,11,11,1.18E6,2,2,2,Carbamidomethylation,21599,Formate dehydrogenase iron-sulfur subunit
343,404723,ETNP_120m_particle_PROKKA_124411,50.67,11,11,1.18E6,2,2,2,Carbamidomethylation,21631,Formate dehydrogenase iron-sulfur subunit
329,404833,ETNP_120m_PROKKA_94902,50.52,9,9,3.05E5,2,2,2,,42480,Heme-binding protein A precursor
329,404834,ETNP_120m_free_PROKKA_315641,50.52,8,8,3.05E5,2,2,2,,46020,Heme-binding protein A precursor
329,404835,ETNP_180m_PROKKA_29587,50.52,7,7,3.05E5,2,2,2,,57387,Heme-binding protein A precursor
329,404836,ETNP_160m_PROKKA_134453,50.52,7,7,3.05E5,2,2,2,,57387,Heme-binding protein A precursor
503,405418,ETNP_100m_PROKKA_72417,50.50,10,10,8.14E4,1,1,1,,13644,Tripartite tricarboxylate transporter family receptor
503,405419,ETNP_120m_PROKKA_229086,50.50,8,8,8.14E4,1,1,1,,18065,Tripartite tricarboxylate transporter family receptor
503,405420,ETNP_150m_particle_PROKKA_27964,50.50,7,7,8.14E4,1,1,1,,19289,Tripartite tricarboxylate transporter family receptor
503,405421,NP_300m_PROKKA_23447,50.50,7,7,8.14E4,1,1,1,,19321,Tripartite tricarboxylate transporter family receptor
503,405422,NP_100m_PROKKA_02327,50.50,4,4,8.14E4,1,1,1,,34235,Tripartite tricarboxylate transporter family receptor
503,405423,SAR11cell_DLNKFFIG_06839,50.50,4,4,8.14E4,1,1,1,,34250,hypothetical protein
503,405424,NP_125m_PROKKA_08462,50.50,4,4,8.14E4,1,1,1,,34265,Tripartite tricarboxylate transporter family receptor
503,405425,NP_85m_PROKKA_14245,50.50,4,4,8.14E4,1,1,1,,34235,Tripartite tricarboxylate transporter family receptor
503,405426,ETNP_120m_particle_PROKKA_59438,50.50,4,4,8.14E4,1,1,1,,34265,Tripartite tricarboxylate transporter family receptor
504,393794,ETNP_120m_PROKKA_127860,50.19,5,5,3.64E4,1,1,1,,35984,hypothetical protein
504,393795,ETNP_300m_PROKKA_122945,50.19,3,3,3.64E4,1,1,1,,66245,hypothetical protein
393,405165,ETNP14_120maa_PROKKA_53886,49.92,2,2,2.36E5,1,1,1,,57610,Glutathione-binding protein GsiB precursor
393,405286,ETNP_180m_PROKKA_31287,49.92,5,5,2.36E5,1,1,1,,25755,Glutathione-binding protein GsiB precursor
393,405287,ETNP_300m_PROKKA_94489,49.92,5,5,2.36E5,1,1,1,,28206,Glutathione-binding protein GsiB precursor
393,405288,ETNP_160m_PROKKA_195467,49.92,5,5,2.36E5,1,1,1,,28518,Glutathione-binding protein GsiB precursor
393,405430,NP_125m_PROKKA_21301,49.92,21,21,2.36E5,1,1,1,,7104,hypothetical protein
155,404680,NP_85m_PROKKA_08167,49.61,5,5,2.82E5,2,1,4,,43465,Elongation factor Tu
155,404681,ETNP_110m_PROKKA_50251,49.61,5,5,2.82E5,2,1,4,,43433,Elongation factor Tu
155,404682,NP_125m_PROKKA_03188,49.61,5,5,2.82E5,2,1,4,,43465,Elongation factor Tu
155,404683,NP_300m_PROKKA_13421,49.61,5,5,2.82E5,2,1,4,,43409,Elongation factor Tu
353,405186,ETNP_120m_free_PROKKA_261782,49.19,4,4,1.85E6,1,1,2,,31433,Receptor family ligand binding region
353,405187,ETNP_180m_PROKKA_68985,49.19,3,3,1.85E6,1,1,2,,40224,Receptor family ligand binding region
353,405188,ETNP_160m_PROKKA_137218,49.19,3,3,1.85E6,1,1,2,,40224,Receptor family ligand binding region
353,405189,ETNP_120m_PROKKA_288212,49.19,3,3,1.85E6,1,1,2,,40224,Receptor family ligand binding region
353,405190,NP_300m_PROKKA_09796,49.19,3,3,1.85E6,1,1,2,,40224,Receptor family ligand binding region
353,405191,ETNP_140m_PROKKA_157524,49.19,3,3,1.85E6,1,1,2,,40224,Receptor family ligand binding region
353,405431,NP_100m_PROKKA_13462,49.19,7,7,1.85E6,1,1,2,,17222,hypothetical protein
232,404688,NP_300m_PROKKA_22447,49.09,3,3,2.72E6,2,1,3,,59909,Respiratory nitrate reductase 2 beta chain
232,404689,ETNP14_120maa_PROKKA_55514,49.09,3,3,2.72E6,2,1,3,,59562,Respiratory nitrate reductase 2 beta chain
232,404690,ETNP_120m_particle_PROKKA_153756,49.09,3,3,2.72E6,2,1,3,,60605,Respiratory nitrate reductase 2 beta chain
232,404691,ETNP_180m_PROKKA_31797,49.09,4,4,2.72E6,2,1,3,,45286,Respiratory nitrate reductase 2 beta chain
232,404692,ETNP_300m_PROKKA_135739,49.09,4,4,2.72E6,2,1,3,,55250,Respiratory nitrate reductase 2 beta chain
232,404695,NP_100m_PROKKA_17904,49.09,6,6,2.72E6,2,1,3,,31704,Respiratory nitrate reductase 2 beta chain
232,404696,ETNP_120m_particle_PROKKA_216010,49.09,6,6,2.72E6,2,1,3,,31762,Respiratory nitrate reductase 2 beta chain
505,405432,ETNP_120m_PROKKA_165163,48.34,7,7,6.93E5,1,1,1,,21345,hypothetical protein
505,405433,ETNP_100m_particle_PROKKA_15470,48.34,7,7,6.93E5,1,1,1,,21542,hypothetical protein
505,405434,ETNP_160m_PROKKA_204134,48.34,7,7,6.93E5,1,1,1,,21572,hypothetical protein
505,405435,ETNP_300m_PROKKA_08383,48.34,7,7,6.93E5,1,1,1,,21542,hypothetical protein
235,405003,ETNP_180m_PROKKA_113945,48.07,1,1,9.06E5,2,2,3,,265714,Cytochrome c551 peroxidase precursor
235,405004,ETNP_140m_PROKKA_18880,48.07,1,1,9.06E5,2,2,3,,265714,Cytochrome c551 peroxidase precursor
235,405005,ETNP_160m_PROKKA_59881,48.07,1,1,9.06E5,2,2,3,,265714,Cytochrome c551 peroxidase precursor
235,405006,ETNP_300m_PROKKA_144743,48.07,1,1,9.06E5,2,2,3,,267298,Cytochrome c551 peroxidase precursor
235,405028,ETNP_120m_free_PROKKA_179917,48.07,3,3,9.06E5,2,2,3,,95647,Cytochrome c551 peroxidase precursor
290,392676,ETNP_120m_PROKKA_182170,47.81,24,24,8.16E5,3,3,3,,10560,10 kDa chaperonin
290,392677,ETNP_300m_PROKKA_115331,47.81,24,24,8.16E5,3,3,3,,10560,10 kDa chaperonin
290,392678,ETNP_100m_particle_PROKKA_50481,47.81,24,24,8.16E5,3,3,3,,10560,10 kDa chaperonin
290,392679,ETNP_140m_PROKKA_71873,47.81,24,24,8.16E5,3,3,3,,10560,10 kDa chaperonin
290,392680,ETNP_120m_free_PROKKA_267515,47.81,24,24,8.16E5,3,3,3,,10560,10 kDa chaperonin
290,392681,ETNP_180m_PROKKA_146862,47.81,24,24,8.16E5,3,3,3,,10560,10 kDa chaperonin
290,392682,ETNP_160m_PROKKA_75378,47.81,24,24,8.16E5,3,3,3,,10560,10 kDa chaperonin
290,392683,ETNP_120m_particle_PROKKA_158971,47.81,24,24,8.16E5,3,3,3,,10560,10 kDa chaperonin
323,404893,NP_300m_PROKKA_10646,47.60,7,7,1E6,2,2,2,,35892,Cystine-binding periplasmic protein precursor
506,405440,NP_30m_PROKKA_01144,47.21,5,5,3.75E4,1,1,1,,35819,Putrescine-binding periplasmic protein precursor
506,405441,ETNP_140m_PROKKA_79738,47.21,4,4,3.75E4,1,1,1,,38042,Putrescine-binding periplasmic protein precursor
506,405442,ETNP14_120maa_PROKKA_138841,47.21,4,4,3.75E4,1,1,1,,39872,Putrescine-binding periplasmic protein precursor
506,405443,ETNP_100m_PROKKA_85271,47.21,4,4,3.75E4,1,1,1,,40415,Putrescine-binding periplasmic protein precursor
506,405444,ETNP14_68maa_PROKKA_81285,47.21,4,4,3.75E4,1,1,1,,40415,Putrescine-binding periplasmic protein precursor
352,405077,ETNP_100m_PROKKA_69303,47.11,18,18,5.53E5,2,2,2,,12506,Nitrogen regulatory protein P-II
352,405078,ETNP_140m_PROKKA_141359,47.11,18,18,5.53E5,2,2,2,,12506,Nitrogen regulatory protein P-II
352,405079,ETNP14_120maa_PROKKA_17710,47.11,18,18,5.53E5,2,2,2,,12506,Nitrogen regulatory protein P-II
352,405080,ETNP_110m_PROKKA_02193,47.11,18,18,5.53E5,2,2,2,,12506,Nitrogen regulatory protein P-II
352,405081,NP_85m_PROKKA_13081,47.11,18,18,5.53E5,2,2,2,,12521,Nitrogen regulatory protein P-II
352,405082,ETNP14_120mab_PROKKA_143345,47.11,18,18,5.53E5,2,2,2,,12476,Nitrogen regulatory protein P-II
352,405083,ETNP_120m_free_PROKKA_24910,47.11,18,18,5.53E5,2,2,2,,12506,Nitrogen regulatory protein P-II
417,393893,SAR11cell_DLNKFFIG_03334,46.49,4,4,0E0,1,1,1,,40675,hypothetical protein
417,393873,ETNP_120m_PROKKA_193882,46.49,4,4,0E0,1,1,1,,40632,hypothetical protein
417,393874,ETNP_160m_PROKKA_204921,46.49,4,4,0E0,1,1,1,,40618,hypothetical protein
417,393875,ETNP_180m_PROKKA_31069,46.49,4,4,0E0,1,1,1,,40618,hypothetical protein
367,405042,ETNP_160m_PROKKA_43662,45.89,29,29,2.31E5,2,2,2,,9385,10 kDa chaperonin
367,405043,ETNP_180m_PROKKA_227182,45.89,25,25,2.31E5,2,2,2,,10974,10 kDa chaperonin
507,405462,ETNP_160m_PROKKA_148400,45.66,12,12,9.82E3,1,1,1,,16626,Regulatory protein AsnC
507,405463,ETNP_180m_PROKKA_134654,45.66,12,12,9.82E3,1,1,1,,16626,Regulatory protein AsnC
508,405464,ETNP_120m_PROKKA_226881,45.62,6,6,1.35E5,1,1,1,,23127,hypothetical protein
355,405289,ETNP_160m_PROKKA_152320,45.52,6,6,4.58E4,1,1,1,,36926,Chlorate reductase subunit gamma precursor
355,405290,ETNP_140m_PROKKA_145402,45.52,6,6,4.58E4,1,1,1,,36926,Chlorate reductase subunit gamma precursor
262,404911,ETNP_300m_PROKKA_98573,45.51,30,30,5.63E6,2,2,3,,7970,Major cold shock protein CspA
262,404912,NP_300m_PROKKA_06108,45.51,30,30,5.63E6,2,2,3,,7970,Major cold shock protein CspA
374,405225,ETNP_120m_free_PROKKA_267226,45.42,5,5,6.04E5,1,1,1,,27915,Cystine-binding periplasmic protein precursor
374,405226,ETNP_160m_PROKKA_70651,45.42,5,5,6.04E5,1,1,1,,30025,Cystine-binding periplasmic protein precursor
374,405227,ETNP_120m_PROKKA_138287,45.42,5,5,6.04E5,1,1,1,,30025,Cystine-binding periplasmic protein precursor
374,405228,ETNP_180m_PROKKA_195553,45.42,5,5,6.04E5,1,1,1,,30025,Cystine-binding periplasmic protein precursor
374,405229,ETNP_300m_PROKKA_47437,45.42,5,5,6.04E5,1,1,1,,30025,Cystine-binding periplasmic protein precursor
372,405140,ETNP_160m_PROKKA_12073,44.62,22,22,4.84E4,1,1,1,Oxidation (M),6890,A-type flagellin
307,404874,ETNP_140m_PROKKA_18977,44.18,5,5,2.24E5,2,2,2,,45331,putative sugar-binding periplasmic protein precursor
307,404875,ETNP_120m_particle_PROKKA_30861,44.18,5,5,2.24E5,2,2,2,,45345,putative sugar-binding periplasmic protein precursor
307,404876,NP_300m_PROKKA_11665,44.18,5,5,2.24E5,2,2,2,,45331,putative sugar-binding periplasmic protein precursor
307,404877,ETNP_120m_PROKKA_246037,44.18,5,5,2.24E5,2,2,2,,45345,putative sugar-binding periplasmic protein precursor
350,405040,ETNP_160m_PROKKA_30886,43.97,2,2,5.98E5,1,1,1,,48130,hypothetical protein
350,405041,ETNP_180m_PROKKA_17691,43.97,2,2,5.98E5,1,1,1,,48131,hypothetical protein
392,405134,ETNP_120m_PROKKA_312690,43.54,3,3,0E0,1,1,1,,56307,hypothetical protein
392,405138,ETNP_120m_PROKKA_187196,43.54,4,4,0E0,1,1,1,,42531,hypothetical protein
392,405157,ETNP_120m_PROKKA_128318,43.54,4,4,0E0,1,1,1,,42715,hypothetical protein
392,405158,ETNP_120m_free_PROKKA_61243,43.54,4,4,0E0,1,1,1,,42792,hypothetical protein
392,405178,ETNP_140m_PROKKA_37117,43.54,5,5,0E0,1,1,1,,33649,hypothetical protein
392,405179,ETNP_180m_PROKKA_196349,43.54,5,5,0E0,1,1,1,,36244,hypothetical protein
311,405107,ETNP_160m_PROKKA_195497,43.48,26,26,5.29E5,2,1,3,,7503,Cold shock-like protein CspE
311,405108,ETNP14_120maa_PROKKA_87335,43.48,26,26,5.29E5,2,1,3,,7574,Cold shock-like protein CspE
311,405109,ETNP14_120mac_PROKKA_48908,43.48,26,26,5.29E5,2,1,3,,7576,Cold shock-like protein CspE
311,405110,ETNP_180m_PROKKA_71535,43.48,26,26,5.29E5,2,1,3,,7574,Cold shock-like protein CspE
311,405111,ETNP_140m_PROKKA_92997,43.48,26,26,5.29E5,2,1,3,,7574,Cold shock-like protein CspE
311,405112,NP_300m_PROKKA_42221,43.48,26,26,5.29E5,2,1,3,,7503,Cold shock-like protein CspE
311,405113,ETNP_180m_PROKKA_186871,43.48,26,26,5.29E5,2,1,3,,7503,Cold shock-like protein CspE
442,405349,ETNP_120m_PROKKA_262283,42.16,4,4,1.32E5,1,1,1,,36281,hypothetical protein
370,405103,ETNP_300m_PROKKA_69341,42.14,9,9,1.12E6,2,2,2,,30237,Glycine betaine/carnitine transport binding protein GbuC precursor
370,405104,NP_300m_PROKKA_18084,42.14,7,7,1.12E6,2,2,2,,35664,Glycine betaine/carnitine transport binding protein GbuC precursor
370,405105,ETNP_140m_PROKKA_09781,42.14,7,7,1.12E6,2,2,2,,35664,Glycine betaine/carnitine transport binding protein GbuC precursor
370,405106,ETNP_160m_PROKKA_120538,42.14,7,7,1.12E6,2,2,2,,35682,Glycine betaine/carnitine transport binding protein GbuC precursor
371,405115,ETNP_300m_PROKKA_150159,41.82,7,7,2.34E5,2,2,2,,33847,putative sugar-binding periplasmic protein precursor
371,405118,ETNP_160m_PROKKA_206198,41.82,5,5,2.34E5,2,2,2,,42312,putative sugar-binding periplasmic protein precursor
371,405119,ETNP_180m_PROKKA_25372,41.82,5,5,2.34E5,2,2,2,,42312,putative sugar-binding periplasmic protein precursor
371,405120,ETNP_120m_free_PROKKA_226468,41.82,5,5,2.34E5,2,2,2,,42312,putative sugar-binding periplasmic protein precursor
371,405121,ETNP_140m_PROKKA_55189,41.82,5,5,2.34E5,2,2,2,,42312,putative sugar-binding periplasmic protein precursor
371,405122,ETNP_120m_PROKKA_281837,41.82,5,5,2.34E5,2,2,2,,42312,putative sugar-binding periplasmic protein precursor
337,405298,ETNP_140m_PROKKA_43922,41.26,9,9,1.75E5,1,1,1,,16771,Phasin protein
337,405299,NP_85m_PROKKA_09581,41.26,9,9,1.75E5,1,1,1,,16771,Phasin protein
337,405300,ETNP_100m_PROKKA_97522,41.26,9,9,1.75E5,1,1,1,,16771,Phasin protein
337,405301,NP_125m_PROKKA_14773,41.26,9,9,1.75E5,1,1,1,,16771,Phasin protein
337,405302,ETNP14_120maa_PROKKA_44788,41.26,9,9,1.75E5,1,1,1,,16771,Phasin protein
333,392512,ETNP14_120mab_PROKKA_107578,40.73,13,13,2.99E4,1,1,1,,13496,hypothetical protein
416,405192,ETNP_120m_particle_PROKKA_175671,40.10,11,11,1.98E5,1,1,1,,9776,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
416,405193,ETNP_160m_PROKKA_15070,40.10,11,11,1.98E5,1,1,1,,9776,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
416,405194,ETNP_120m_PROKKA_178256,40.10,11,11,1.98E5,1,1,1,,9776,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
416,405195,ETNP_120m_free_PROKKA_84797,40.10,11,11,1.98E5,1,1,1,,9776,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
416,405196,ETNP_180m_PROKKA_169770,40.10,11,11,1.98E5,1,1,1,,9776,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
416,405352,ETNP_160m_PROKKA_166651,40.10,15,15,1.98E5,1,1,1,,7321,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
416,405353,ETNP_120m_free_PROKKA_299579,40.10,15,15,1.98E5,1,1,1,,7321,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
416,405356,ETNP_180m_PROKKA_240903,40.10,12,12,1.98E5,1,1,1,,9008,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
416,405357,ETNP_140m_PROKKA_42293,40.10,11,11,1.98E5,1,1,1,,9773,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
416,405358,ETNP_120m_PROKKA_233652,40.10,11,11,1.98E5,1,1,1,,9773,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
416,405359,ETNP_300m_PROKKA_15031,40.10,11,11,1.98E5,1,1,1,,9787,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
384,405166,NP_85m_PROKKA_11245,39.63,2,2,2.83E6,1,1,1,,45567,Pyruvate synthase subunit PorA
384,405167,SAR11cell_DLNKFFIG_08927,39.63,2,2,2.83E6,1,1,1,,45577,NADH-dependent phenylglyoxylate dehydrogenase subunit alpha
384,405168,ETNP14_68maa_PROKKA_76914,39.63,2,2,2.83E6,1,1,1,,45600,NADH-dependent phenylglyoxylate dehydrogenase subunit alpha
384,405169,SAR11cell_DLNKFFIG_07877,39.63,3,3,2.83E6,1,1,1,,41761,Pyruvate synthase subunit PorA
384,405175,SAR11cell_DLNKFFIG_08480,39.63,2,2,2.83E6,1,1,1,,45600,NADH-dependent phenylglyoxylate dehydrogenase subunit alpha
384,405181,NP_300m_PROKKA_29860,39.63,3,3,2.83E6,1,1,1,,36510,Pyruvate synthase subunit PorA
384,405204,ETNP14_68maa_PROKKA_139663,39.63,2,2,2.83E6,1,1,1,,45504,Pyruvate synthase subunit PorA
384,405326,ETNP14_120mab_PROKKA_161904,39.63,18,18,2.83E6,1,1,1,,6335,hypothetical protein
384,405327,NP_300m_PROKKA_58416,39.63,18,18,2.83E6,1,1,1,,6285,hypothetical protein
384,405328,NP_100m_PROKKA_21546,39.63,18,18,2.83E6,1,1,1,,6335,hypothetical protein
