Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 12: 278 4-19_265m_top+P-A_90min,Area Sample 12: 278 4-19_265m_top+P-A_90min,#Peptides,#Unique,#Spec Sample 12: 278 4-19_265m_top+P-A_90min,PTM,Avg. Mass,Description
308,194935,ACL73541.1,24.00,4,4,2.8E6,1,1,1,,21290,Superoxide dismutase [Thioalkalivibrio sulfidiphilus HL-EbGr7]
237,193842,AMC10748.1,23.88,2,2,0E0,1,1,1,,52238,hypothetical protein Lupro_05615 [Lutibacter profundi]
265,194947,ETNP_300,23.82,4,4,7.71E5,1,1,1,,23312,hypothetical protein
371,175123,WP_010510578,23.80,3,3,5.95E5,1,1,1,,31032,phosphonate ABC transporter ATP-binding protein SAR324 cluster bacterium SCGC AAA001-C10
150,193807,ETNP_120,23.75,1,1,,1,0,1,,154638,DNA-directed RNA polymerase subunit beta'
334,195166,BAJ32155.1,23.69,3,3,0E0,1,1,1,,38937,putative glucokinase [Kitasatospora setae KM-6054]
377,196420,ACY14871.1,23.24,2,2,6.65E5,1,1,1,,41461,NHL repeat containing protein [Haliangium ochraceum DSM 14365]
248,194109,BAE51271.1,23.17,2,2,2.81E4,1,1,1,Oxidation (M),75506,RecG-like helicase [Magnetospirillum magneticum AMB-1]
1798,195103,ETNP_120,23.12,3,3,1.4E6,2,2,2,,67936,DNA primase
1799,195105,ETNP14_68,23.06,7,7,6.57E5,2,2,2,,33803,3-oxoacyl-[acyl-carrier-protein] reductase FabG
319,195018,WP_011372416.1,23.03,2,2,2.85E6,1,1,1,,51220,hypothetical protein [Sulfurimonas denitrificans]
205,144324,EJK44692,23.01,0,0,3.29E6,1,1,1,,314738,hypothetical protein THAOC_36750 partial  Thalassiosira oceanica
324,195032,ETNP14_120,22.91,2,2,1.24E6,1,1,1,,45717,DNA repair protein RecN
324,195034,NP_125,22.91,2,2,1.24E6,1,1,1,,62097,DNA repair protein RecN
274,196579,NP_100,22.81,2,2,5.57E5,1,1,1,,29378,Tetratricopeptide repeat protein
313,195006,WP_012519523,22.75,2,2,7.22E4,1,1,1,Carbamidomethylation,40883,S-hydroxymethylglutathione dehydrogenase Alteromonas mediterranea
194,193923,CBE68096,22.68,4,4,1.36E5,1,1,1,,44592,Sulfate adenylyltransferase Sulfate adenylate transferase SAT ATP-sulfurylase Candidatus Methylomirabilis oxyfera
312,195005,ETNP14_68,22.63,2,2,1.18E7,1,1,1,,44657,Diaminopropionate ammonia-lyase
94,195903,ETNP_140,22.62,2,2,1.42E7,1,1,2,Oxidation (M),32686,Branched-chain amino acid transport system / permease component
268,195025,ETNP14_68,22.56,2,2,1.13E7,1,1,1,,42979,Soluble pyridine nucleotide transhydrogenase
268,195026,ETNP_90,22.56,2,2,1.13E7,1,1,1,,42688,Soluble pyridine nucleotide transhydrogenase
268,147342,ETNP_160,22.56,2,2,1.13E7,1,1,1,,49687,Soluble pyridine nucleotide transhydrogenase
268,147343,NP_85,22.56,1,1,1.13E7,1,1,1,,52003,Soluble pyridine nucleotide transhydrogenase
268,147344,ETNP_180,22.56,1,1,1.13E7,1,1,1,,51994,Soluble pyridine nucleotide transhydrogenase
268,147345,ETNP_110,22.56,1,1,1.13E7,1,1,1,,51990,Soluble pyridine nucleotide transhydrogenase
268,147346,NP_100,22.56,1,1,1.13E7,1,1,1,,51921,Soluble pyridine nucleotide transhydrogenase
268,147347,NP_300,22.56,1,1,1.13E7,1,1,1,,51993,Soluble pyridine nucleotide transhydrogenase
268,147348,ETNP_100,22.56,1,1,1.13E7,1,1,1,,51990,Soluble pyridine nucleotide transhydrogenase
378,196468,ETNP_100,22.15,5,5,1.55E6,1,1,1,Oxidation (M),31959,Nicotinate phosphoribosyltransferase pncB2
379,196473,ETNP_120,22.09,14,14,6.96E5,1,1,1,,6797,N-acetylmuramic acid 6-phosphate etherase
379,196475,ETNP_180,22.09,3,3,6.96E5,1,1,1,,31285,N-acetylmuramic acid 6-phosphate etherase
245,194089,ETNP_180,22.02,1,1,5.54E5,1,1,1,,72931,Acetophenone carboxylase gamma subunit
382,196488,KHE92069,21.98,2,2,3.19E5,1,1,1,,38633,hypothetical protein SCABRO_02119 Candidatus Scalindua brodae
381,196483,ETNP_120,21.86,8,8,1.77E6,1,1,1,,11980,hypothetical protein
173,193911,virus_CCADEAMM_24950,21.85,0,0,0E0,1,1,1,,282578,hypothetical protein
321,195020,NP_300,21.84,3,3,7.22E5,1,1,1,,25767,putative aldolase LsrF
321,196490,NP_85,21.84,9,9,7.22E5,1,1,1,,9516,putative aldolase LsrF
258,194281,ETNP_100,21.83,2,2,1.89E6,1,1,1,,42894,lipopolysaccharide core biosynthesis protein
258,196596,ETNP14_68,21.83,3,3,1.89E6,1,1,1,,22728,3-isopropylmalate dehydratase small subunit
196,127572,WP_013307636.1,21.81,1,1,0E0,1,1,1,,94777,DNA gyrase subunit A [Maribacter sp. HTCC2170]
339,196504,ABI76374.1,21.64,2,2,7.34E4,1,1,1,,43118,arginine biosynthesis bifunctional protein ArgJ [Hyphomonas neptunium ATCC 15444]
59,144157,ETNP_160,21.62,2,2,1.19E7,1,1,3,,39657,Nitronate monooxygenase
59,144158,ETNP_120,21.62,2,2,1.19E7,1,1,3,,39631,Nitronate monooxygenase
59,144159,ETNP_120,21.62,2,2,1.19E7,1,1,3,,39657,Nitronate monooxygenase
59,145304,ETNP_90,21.62,11,11,1.19E7,1,1,3,,7692,hypothetical protein
384,196507,ETNP_120,21.56,5,5,7.6E5,1,1,1,,17987,Dihydrolipoyl dehydrogenase
247,194098,ETNP14_68,21.52,1,1,,1,0,1,,62087,30S ribosomal protein S1
214,195013,WP_013752035.1,21.48,1,1,8.74E4,1,1,1,,76705,hypothetical protein [Dokdonia sp. 4H-3-7-5]
267,195024,WP_012844200,21.48,1,1,1.36E6,1,1,1,Carbamidomethylation,152095,histidine kinase Rhodothermus marinus
385,196516,ETNP_120,21.45,3,3,5.95E5,1,1,1,,27041,Dihydroorotase
337,134709,ETNP_60,21.45,2,2,2.62E5,1,1,1,,31925,replication factor C small subunit
141,193836,XP_003081379,21.44,1,1,5.72E5,1,1,1,,165016,helicase and polymerase containing protein TEBICHI ISS  Ostreococcus tauri
386,196520,ADH90570.1,21.41,3,3,7.12E5,1,1,1,,29288,conserved hypothetical protein [Starkeya novella DSM 506]
386,196541,WP_012563325,21.41,1,1,7.12E5,1,1,1,,113369,multidrug efflux RND transporter permease subunit Oligotropha carboxidovorans
317,24649,ETNP_120,21.36,2,2,2.85E6,1,1,1,,49956,DNA-directed RNA polymerase subunit beta'
328,195038,ETNP14_68,21.18,4,4,0E0,1,1,1,,37474,hypothetical protein
344,199339,XP_003063893,21.15,2,2,0E0,1,1,1,Mutation,44269,predicted protein  Micromonas pusilla CCMP1545
145,193914,ETNP14_68,21.15,1,1,0E0,1,1,2,,168810,Serine protease AprX
335,195173,ETNP14_120,21.00,1,1,1.16E6,1,1,1,,53636,hypothetical protein
335,196630,ETNP14_68,21.00,3,3,1.16E6,1,1,1,,22333,hypothetical protein
329,195039,EAP86756.1,20.99,3,3,4.06E5,1,1,1,,34680,putative tyrosine recombinase [Croceibacter atlanticus HTCC2559]
179,195055,ETNP_100,20.95,1,1,6.9E5,1,1,1,,55513,Photosystem I assembly protein Ycf3
389,196545,NP_30,20.90,7,7,3.89E5,1,1,1,,14266,hypothetical protein
389,196546,NP_30,20.90,5,5,3.89E5,1,1,1,,20924,hypothetical protein
390,196554,XP_003059604,20.86,7,7,2.6E5,1,1,1,,12031,predicted protein  Micromonas pusilla CCMP1545
330,195044,WP_018049609,20.72,1,1,2.81E6,1,1,1,,134186,hypothetical protein Nitrospina sp AB-629-B18
392,196565,ETNP14_120,20.69,4,4,2.29E5,1,1,1,,28016,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
198,194011,ETNP_120,20.62,2,2,6.16E5,1,1,1,,61985,Elongation factor G
198,195027,ETNP_120,20.62,2,2,6.16E5,1,1,1,,77987,Elongation factor G
198,196568,ETNP_70,20.62,6,6,6.16E5,1,1,1,,21472,Elongation factor G
198,196569,ETNP_120,20.62,4,4,6.16E5,1,1,1,,32866,Elongation factor G
198,196570,ETNP_100,20.62,2,2,6.16E5,1,1,1,,61002,Elongation factor G
395,196573,ABA57522.1,20.59,2,2,1.18E6,1,1,1,,38338,3-isopropylmalate dehydrogenase [Nitrosococcus oceani ATCC 19707]
322,195021,ETNP_90,20.56,4,4,6.75E4,1,1,1,,24248,hypothetical protein
153,24163,WP_015403956,20.45,3,3,9.23E5,1,1,1,,50534,ATP synthase F1 subcomplex subunit beta Desulfocapsa sulfexigens
108,18278,BAJ32818.1,20.38,0,0,1.45E6,1,1,1,Oxidation (M),680135,putative modular polyketide synthase [Kitasatospora setae KM-6054]
398,196582,ETNP_160,20.38,10,10,1.1E7,1,1,1,,13197,hypothetical protein
398,196583,ETNP_100,20.38,10,10,1.1E7,1,1,1,,13197,hypothetical protein
399,196586,ETNP_90,20.34,3,3,3.01E6,1,1,1,,27804,Pyrroline-5-carboxylate reductase
402,196607,ETNP_90,20.33,2,2,1.54E6,1,1,1,,31576,hypothetical protein
156,193990,NP_864133,20.29,1,1,1.21E6,1,1,1,,92263,signal peptide Rhodopirellula baltica SH 1
207,194239,ETNP_90,20.17,2,2,3.07E6,1,1,1,,52644,hypothetical protein
332,195077,virus_CCADEAMM_03444,20.15,1,1,8.91E4,1,1,1,,57974,hypothetical protein
152,144342,EJK45331,20.10,0,0,6.54E5,1,1,1,,244543,hypothetical protein THAOC_36056  Thalassiosira oceanica
269,195047,ACB26545.1,20.07,2,2,0E0,1,1,2,,65118,extracellular solute-binding protein family 5 [Methylobacterium radiotolerans JCM 2831]
204,25258,virus_CCADEAMM_57856,20.04,2,2,8.23E5,1,1,1,,38811,hypothetical protein
204,25259,virus_CCADEAMM_57828,20.04,2,2,8.23E5,1,1,1,,38811,hypothetical protein
